"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.004897712330313552,0.003707245670887933,0.0033770657665589993,0.0037465597029944595,0.0044223302483302595,0.00467113030825374,0.004698816055591146,0.004581441594790003,0.004391783173588716,0.0044121566011624085,0.004312019530515826,0.004273129767155223,0.004255596531166539,0.004202930820427036,0.004120496413579897,0.004091016181456113,0.004087878732405247,0.004046456275678069,0.004005855726250962,0.0039874392424595236,0.003970168786627501,0.003949986722762508,0.003939366690361367,0.003934221311397163,0.0039026914237276548,0.0039112778445085815,0.003881808862291437,0.00387445226487206
"t_peak",0.004813417204868205,0.004158652716442897,0.003587426992391437,0.0037379575618283695,0.0055246909507559805,0.0069981094382545106,0.008087458267060234,0.00875861813442639,0.00900146715864255,0.009204270840465394,0.009303663289639611,0.009395795754815923,0.009393196563528447,0.0094491329500777,0.00947905687624276,0.009493684386046619,0.009531855996868269,0.009536978520475794,0.009522622357720004,0.009492510506347397,0.009494705259762223,0.009491076129025569,0.009449537634286374,0.009449452250366502,0.009436808282264533,0.009416147873160358,0.009404814300648505,0.009415951217371476
"gamma_d",0.005235998115839262,0.0037938405687266263,0.0031106290486394095,0.002918198186114183,0.0025747329593014553,0.0027050067384162134,0.002853893643601175,0.0033789974185466543,0.0037043713068264125,0.00406900056471372,0.0043116703770253,0.004575786827003929,0.004791243032520651,0.00499337541554415,0.0051975260341789445,0.005366935796119531,0.005515208371655283,0.005629959289253254,0.0057187197830992605,0.005771175400111444,0.005847246480811402,0.005917997731572639,0.006008670535180362,0.006105240577595464,0.006198531567430576,0.0062936183498984504,0.006372583310058639,0.0064774781228898815
"sd_temp",0.0048449655945961,0.0036957054509625304,0.003026393110920633,0.0030606255125792134,0.0019590667498625425,0.001687647936905488,0.0011362320893846252,0.0012610399337842219,0.0006874980929137495,0.0005150943172569042,0.00046700858088100675,0.0004502626964367024,0.00034586448796117855,0.00036033854916502485,0.00024537980471336484,0.0002552363494794945,0.00041217534201700443,0.00018533764527676322,0.000196289730009683,0.00024099041367576444,0.00024774969323666324,0.0002057562899587635,0.000160343741624264,0.00018289018154621394,0.0001334660693795505,0.00023003303056669852,0.00011632470349077345,0.00016099013871073966
"sd_ocean_heat",0.004718082445333271,0.004263006112509323,0.003388900254816795,0.002724456339839707,0.002281570502258972,0.0017083812574244296,0.001079478293854819,0.001133096299905569,0.0006715875150985961,0.0008988562733768508,0.00046958752007228704,0.00039146003401585366,0.0004562239489044994,0.00042030015023314377,0.0002594256046263038,0.00030563499653171695,0.0003926167717564929,0.00021679814387405891,0.00022583167447651618,0.00019870927375472002,0.00025012857097112993,0.0001949858898265395,0.00016089216529150777,0.00015092429613801283,0.0001366714572445643,0.00014246622135807665,0.00014557108951167476,0.0001356720881791984
"sd_glaciers",0.00467573346609769,0.0040129249236670215,0.0032573463749580134,0.0029706647124972735,0.0024033443783469466,0.001808693654236713,0.0010481657120512745,0.001262822186106187,0.0006526331616906681,0.0005989294522419625,0.000510092337729816,0.0003983253469127897,0.00033775780823377244,0.00035340333858827094,0.0002555265468683618,0.00029510397613281613,0.00028107251298139726,0.00020186813509712819,0.00018924451953953426,0.00026084466830652274,0.00017707439453886481,0.00017465962593987653,0.00015017705284126474,0.0001623421676403172,0.0001515093429232563,0.00015240579096946122,0.00013824784399148158,0.00012170745082211903
"sd_greenland",0.004693047449407026,0.004313841988213222,0.004100139957328851,0.002713109125330418,0.0017898560673803266,0.001589064509922004,0.0010926923793597716,0.0008772831124537727,0.0006033672634470984,0.000791307837895006,0.00043056836480016955,0.0004134956033139033,0.00033999743385324974,0.0003281340742499656,0.0002952335418963907,0.0002642742305770781,0.00027224277820827247,0.00022330660414480877,0.0001929889481473796,0.00019850169725616566,0.0002828944518800338,0.00019151583946073987,0.00017272373745850464,0.00019526124949907677,0.00015278783229155668,0.00011837639777024793,0.00013350266892083783,0.00015908799708808997
"sd_antarctic",0.004891544195087064,0.0037502003625288615,0.0033343336662396547,0.0032283709469834833,0.0017708662654979076,0.0015886617317823202,0.0012844303628830036,0.0008913739650182013,0.0006150488978350357,0.0007089338599928696,0.0003836989250866508,0.00041750246442667224,0.00035242730658148236,0.0003405223618742033,0.00027793480892954756,0.0002875088774492413,0.00023707535255732427,0.00023860968197843909,0.0002052483315665078,0.00023175124279688854,0.00022312648040963712,0.00017898746975214162,0.00017639924453403065,0.0001638783112660097,0.00015036604978246038,0.0001686165753009213,0.00011423738666152375,0.00013945746954841404
"sd_gmsl",0.004810336575331929,0.0037300248011655174,0.003593631226725193,0.0031567876606086905,0.0017124378483869963,0.0016891720333924447,0.001105474449396838,0.0007834840683592995,0.0005954784127086067,0.0006494756207332339,0.00059810251614484,0.0004765379681144636,0.0003696397292436384,0.0003820953404008517,0.0002621920286758379,0.00030384591220353874,0.00024719510703047034,0.00020200153684969298,0.00020899775065432396,0.0002035168748191928,0.00021488988021986998,0.0002280012684812605,0.00017579035037393776,0.00017495602701639683,0.0001228106936290044,0.00016554914065257154,0.00011915411183791323,0.00014702072248481957
"rho_temperature",0.004522991167844842,0.0034580905188066877,0.003056232398125801,0.002772875516141769,0.0019058692563630694,0.0019024712887020833,0.0013629899357012003,0.0008307327866393575,0.0006802110166514077,0.0005509301531572952,0.0004400267499556338,0.0004599875791626136,0.0004635029020951006,0.00032795761307795454,0.0002804679246891949,0.0002766715807543169,0.0003147222143489038,0.0001926012176729529,0.0001804375614805396,0.00025819918335961647,0.0002618138471887435,0.00016124650882690854,0.00016984003132831306,0.00015732092024989687,0.00015021973658910123,0.00014387253599696924,0.0001530649042253902,0.00011319746954694848
"rho_ocean_heat",0.0045304162375879925,0.003989586049483069,0.003282981025854845,0.003033260218671302,0.0026599401160108233,0.0017675147038026782,0.0013753006402198932,0.0009028493886632836,0.0006313218207777368,0.0006191137068749374,0.00048292790425023574,0.00037584860762674945,0.000324265124319156,0.0003747245261046939,0.0003406960177034288,0.0003201823374968547,0.0003528850727433113,0.00019124940532658872,0.00019002341215699622,0.0002084765678368188,0.0002472396405446166,0.0001891195529704376,0.00017580678231327132,0.00018945109157392389,0.00014064314982871942,0.00014228646295825015,0.00012675596127366504,0.00013358750454843865
"rho_glaciers",0.005098138957212254,0.0037430354246889273,0.003421135829010139,0.003276756247748318,0.002039410311237953,0.0014994514341178167,0.0013248282558631285,0.001026256930147267,0.00060448164799825,0.0007383751092265843,0.0004746716670967784,0.0005100966667970218,0.0003939903037704521,0.00036996983781081876,0.0002676137717798025,0.000247951410880391,0.0002667908508305181,0.00023914443260776322,0.00019895057474461053,0.00019345270425168593,0.00023451811615021983,0.00016954577770730828,0.00014245567610763455,0.00014250213481601593,0.0001293053137001875,0.00021005980573996863,0.00013563309943478166,0.00014640064820391636
"rho_greenland",0.004904062254717286,0.003750771937159892,0.00327572287609267,0.0026773519546535525,0.002342319525295757,0.0016152364704136771,0.0012045710002495304,0.0007930015260326827,0.0006425905625660551,0.0006060903380429281,0.00047274496025630946,0.00045957692941595555,0.0005475544142490695,0.0003436476022818563,0.0002707717632402127,0.0002798401420042659,0.00024361412908781668,0.00019204071587472914,0.00019402377348296044,0.00022772326109823864,0.00021271814043221377,0.0001777209141956448,0.0001740358420256616,0.0001756735787906523,0.00015926855611848477,0.00022970663867104366,0.00013557212285420834,0.00013422287856586904
"rho_antarctic",0.004968371824564411,0.0038976171870672466,0.003145256348717689,0.0033663178333702233,0.002476721719622552,0.0015267713986477905,0.0011488234351870407,0.0008278104800779675,0.0006596862162565493,0.0006297239784931462,0.00042441836526130235,0.0004376893491808888,0.0003551447337111043,0.00032937671742031964,0.00029754887825401727,0.00023405984414392867,0.0003108406660574209,0.00019186982485150272,0.00018877634921154814,0.00020698178362150378,0.00024307915023677297,0.00018440288155172513,0.0001591526576718583,0.00015436519253478757,0.00015421920259204452,0.00014181225420384824,0.00017453808778751474,0.0001322147615261721
"rho_gmsl",0.005501744567419751,0.005186191643536,0.003937492848574498,0.0032745916552616777,0.0021195404036394735,0.0019013058922708623,0.001137627651193307,0.0009470884447700207,0.0006727556846908635,0.0005905161724148963,0.0005125243585123402,0.00041951718283031946,0.0003743356786455096,0.000331333725585911,0.0002628009199370584,0.00028525267829281964,0.00031184818381355475,0.0001965004679766952,0.0002019031778109106,0.0002335620600594647,0.0002190160060754914,0.00018403727237431726,0.00016618692359282982,0.00014860819678401787,0.00013977845788592188,0.00015950631877854012,0.00013067919752374308,0.00013198484767607048
"CO2_0",0.004767244910062132,0.003912465163784825,0.0033486949820659036,0.0026685044038211475,0.0028130864545610383,0.0014735193307369374,0.001367655795115625,0.000946069707988039,0.0006314895429319506,0.0006496775057555906,0.00045812052098124443,0.00043336096894555057,0.0003942468168900733,0.00031493030169959325,0.0002792174908212964,0.00040343459995652347,0.00036253883747790276,0.00021083422035489527,0.0001934152135256224,0.00021327971145812874,0.0002644296128890142,0.0001706831657203784,0.00020940014023928809,0.00018076615534974333,0.00013043362431537243,0.00020761680075056765,0.00016845578852859114,0.00018156804282591464
"N2O_0",0.004629344791056526,0.0038142280667327233,0.003554492360014082,0.0028793224858434103,0.001886150083161178,0.001425449441835895,0.0010293538546035613,0.0010197747089367444,0.0007890066928067531,0.0005164054950204439,0.0004952140703658988,0.0005153061647954517,0.00044624778012631867,0.00031480207073783913,0.0002891564639051723,0.00022287837966849895,0.0003442492461725508,0.00021759098267197036,0.00020386759934694324,0.00024073344916363174,0.00019449560184995116,0.000195038876731117,0.00023807537502527784,0.00014208846219487635,0.00013690205828471893,0.00014580186251581312,0.00013160081237353406,0.00018172363794557498
"temperature_0",0.0049174435718000505,0.003743815520544155,0.0031347642983677025,0.0025688391341041035,0.0022308599601522866,0.0015414786294206523,0.0011061448811743831,0.0008925810158689835,0.000638680643300453,0.0005940818557724824,0.0005411248447185985,0.0004568285239854084,0.00037252518324014454,0.0002939828402773505,0.0002915871132564046,0.0002897397554486851,0.00031977314665108757,0.0002666440537369782,0.00019424975002210352,0.00023326301913799384,0.0003532194964235917,0.00017351335942321816,0.00015112361802289013,0.00016632753980678553,0.00014364900917738206,0.00016122665737904081,0.00018265488155283686,0.00014642491338498262
"ocean_heat_0",0.004686531649858662,0.003917867423908563,0.0031793045441510055,0.002950900105191429,0.0020605418474555263,0.0015842284893307762,0.0009881050858328033,0.0010016144312937846,0.0006337357021278609,0.0005625550385365642,0.0004276524320365261,0.00038004165345089595,0.0003717231593380474,0.00034142913591984463,0.00023956215741213549,0.00033399522377656565,0.00031347842224375456,0.00020995207197579513,0.00019851190390436733,0.00024688064840937794,0.00023563208768258363,0.0001583326121676533,0.0002719164747568191,0.00019499104694146733,0.00017158677489699108,0.00015237455680660632,0.00012447902943032166,0.00011942759279768043
"thermal_s0",0.004612003064639645,0.0037789226989739036,0.0030925808404353773,0.0028174485492273352,0.0017002235182446439,0.0017369543618473903,0.0010052340607697163,0.0008427449717912948,0.0007181581094780216,0.0006240103262671272,0.0004793522793851347,0.0003904417969080215,0.000401895402583182,0.0003691468983975904,0.00025606851418066,0.0002778868273020949,0.00021076173328264016,0.00020190544326204678,0.0001782783493131775,0.0002708248111818837,0.00023369670954162,0.00017171828540417445,0.00023892742349819384,0.00016040002826940396,0.00018192411606357886,0.00012896617191990404,0.00014441692881000454,0.0001272049104128999
"greenland_v0",0.0047735180887746595,0.004007329218821163,0.003074856873699611,0.0026304485173920472,0.002322195688729384,0.0016948190236201121,0.0012437830407590034,0.0009723949025410882,0.0005968632052535328,0.000539263380233335,0.00048305510750259903,0.0004216208758145889,0.00037821380539254553,0.00035401622733111706,0.00027446303794536524,0.00031858422566238647,0.0003705877012749403,0.00019628676429060273,0.0001946892069125705,0.00020697540361588044,0.0002506908767667828,0.00019446056512515127,0.00016881522425247683,0.00015646942934253278,0.000200341738052743,0.0002087317437527798,0.00013890156172692076,0.0001499307803919949
"glaciers_v0",0.004260695461632356,0.0037884128998969258,0.0043203406415795184,0.0026401950697873735,0.002145585923436694,0.0018892428912753965,0.0009560786562157421,0.0008014135040518547,0.0006776242760055794,0.0005549429568551982,0.00048002809090884097,0.00039680829162143697,0.00039879941154009326,0.0003252337329412593,0.00025527969611405964,0.0002486589654905474,0.00029426312834716646,0.00022614483473921667,0.00022552001694602078,0.0002878996587612964,0.00021588284884417958,0.0002637100749689188,0.0002107155286072768,0.00017829005768011495,0.00016775068772186753,0.00018276105578807656,0.00015800573714269022,0.00014492898721616326
"glaciers_s0",0.005132984120734948,0.003783381809630547,0.003139418240527192,0.0027627531022851263,0.0019567660938020516,0.0018308727359188804,0.0010786776285109214,0.0010077801486181909,0.0006803431949321283,0.0005203838255534539,0.0004508632568534515,0.0004749718916423762,0.00043642934805662503,0.00032806204071107785,0.0003123882738859458,0.0003175733989404028,0.00030704240115371045,0.0002007691853946192,0.0001955244716697898,0.00018901388914135332,0.00019108319132481703,0.00022341635337042094,0.00021184137353250153,0.0001477219559199061,0.0001367646839138086,0.0002740855487102297,0.00013636432824754772,0.00014356572703245186
"antarctic_s0",0.00484827297175056,0.0035440809043732193,0.0030433631131783316,0.003281487766385671,0.0017943149451988983,0.0014882145451499973,0.001157654575784661,0.0009718883426642064,0.0007314572855917485,0.0005403168707178595,0.0004150147034485517,0.0004448722250393335,0.00031343902142211933,0.00031960642296430426,0.00033879779528833573,0.0002933844719088764,0.0004530010130959496,0.00020601018087385852,0.00019161635213223088,0.00023248375774822817,0.00020978849008281583,0.0002490505077102018,0.00016149408991068833,0.00016772779404790195,0.00015161241275362064,0.00020208077635675443,0.00014958853664598644,0.00015061140782379712
