"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",2.733841530317089e-5,0.003644498903020852,-0.002728578516048486,0.015168648268071246,0.037320263445594054,0.060937899976693376,0.05921344137781818,0.05726423145171241,0.052085121783483256,0.048621539414523844,0.04617886401640856,0.042961102250451806,0.041634732874511984,0.040202162573506034,0.03865388154533392,0.0377876710956694,0.03742743633792122,0.03682213271640777,0.03567228741041611,0.034849434211725254,0.034162308441234655,0.03339970314139328,0.03279070682342211,0.03212875834603615,0.03156463548931089,0.031116969097701053,0.030614384109801492,0.030175016860335042
"t_peak",-0.0057577411286384205,0.00712221453602492,-0.00035131121433577557,0.019008511267437696,0.06673986753031323,0.1669820309594232,0.2575352662594929,0.328663631224495,0.3786194782836019,0.41468172671599013,0.4381742867328543,0.4527128722972767,0.46413919143893106,0.47184344990257593,0.47549208941176707,0.47740324290495917,0.4788243496699217,0.4785895351650273,0.47854211075766256,0.4775553367007999,0.4748284929947095,0.4725533885506218,0.4697733330180645,0.4666748345105164,0.46327489721117004,0.459493999907958,0.45593631536148,0.45279711816186674
"gamma_d",-0.0024108915051598775,0.010036363038821114,-0.0023329933245292405,0.005407468981388893,-0.0021608460225874286,0.0020892242348538076,0.005502738464931386,0.01261866899330894,0.019987992943670815,0.028903918182808783,0.03772125405749979,0.045845476160910614,0.05612705176527101,0.06410669949097421,0.07367727916906273,0.08202543122634896,0.08998320498702084,0.09616865116987454,0.10089914143990364,0.10486502890892291,0.10909375155358583,0.1129132093316205,0.11693724116859269,0.12118865390346599,0.12498034854037657,0.12891915795432562,0.13212268801978116,0.13554276982252625
"sd_temp",-0.005618176501766188,0.0059876519873414535,-0.003575711537390016,0.0018074317355312294,0.0015187913175845808,0.0011277860464991081,0.0014926403322036755,0.0008352830337252306,3.448883143575132e-5,0.000984678827740803,0.00021344454420933618,0.00022418285351845173,-0.0004425567609286819,0.00020371236574984425,0.00014971278477451556,0.0003952634171679322,0.00023120931255290444,-2.2138898033834667e-6,-1.688999142515459e-5,-0.0001566325916928057,-0.0001872568035975093,-0.00011193506875620833,-0.000199173041723024,0.00011538057315530304,5.910534518365019e-5,0.00015913256306797208,-0.00010624713814880147,0.00010589040777247615
"sd_ocean_heat",-0.0014316552156663487,0.003051196346662343,-0.0004608902477112028,0.0030293161731886364,-0.0018044679944879283,0.0034878144569194256,0.0007920902749618893,0.0006263250008566358,0.0002614526154553493,0.0013586035601688862,0.0002431828362418424,-0.00032937164642237083,0.00033629894831678535,-0.00020927294070391931,0.0002303188557085632,-0.0005021496525130336,0.00028436624405980907,0.0003131450253073779,9.621183345494787e-6,-8.46444878343794e-5,0.00010877251760975734,-0.00014247086331637432,-0.00016237483779405783,7.094101568719721e-5,2.581520534203924e-5,0.00019473892107378413,5.840299698366247e-5,0.0001012445132593457
"sd_glaciers",-0.0010229816818168578,0.007662654144278062,-0.0029111631934140283,0.00653454129095741,0.0021994076460580187,0.0029630627008591214,0.000978574751262202,0.0016886712204422555,0.0003067485753459409,-0.0004303167261012159,0.0001751763565761173,-0.0006077757642766814,0.00015580902729100542,0.00024371708542350793,8.648996432948084e-5,8.378647089245983e-5,-1.649453805140454e-5,-0.0003198470873546209,-7.745375462932137e-6,-0.00016852029411998265,-9.259274795891886e-5,-0.00019281832758338103,-2.335018096837809e-5,-3.548219237326563e-5,1.2490614258538647e-5,8.704680695957725e-5,-5.027091049656377e-5,0.0002038886989691314
"sd_greenland",-0.004665068134990515,0.006812007547302691,-0.002392515542481955,0.002254842239142547,0.002707104251276195,0.0008340007366638714,0.0020225722399542,-0.0004541616546765563,-0.00016968925450141476,0.0004891337141409999,0.0005094568785244607,-0.00029696486537430085,-0.0001362762303361943,-0.00035253609198151797,-5.083522044626863e-5,-0.00011094096711946561,8.386527907587588e-5,0.00010065588079054544,-6.000306302930355e-5,-5.982919594929156e-5,-0.00023733793002856342,-8.641662087755024e-5,-0.00010389032441417153,0.0001673455744230162,-9.966442595347329e-5,-7.308173951315853e-5,3.629109358324918e-5,-2.3562794861252473e-5
"sd_antarctic",0.0018147868264492824,0.0038769585896026157,-0.0003518690096486267,0.004941871608481367,0.000880257401067274,0.004591776441035244,0.0002976070747301096,-0.0005900213635024935,-0.0005637686294995978,0.0003363908498405701,0.000741411514607153,-0.0007738329229071321,0.00038723806365222876,-0.00011942826515943202,3.672167598930247e-5,0.00010768221122279364,-8.110865071418225e-5,-0.00014880382485412696,-9.412953746931696e-5,-0.00012850222558266925,-3.402902452714332e-5,-0.000211913917647589,-0.00024181635536395002,8.925022415482816e-5,2.880714401170441e-5,0.0001914477585152645,-0.00015228162947781266,-1.3614935606509983e-5
"sd_gmsl",-0.007087423568738936,0.004951418063994662,0.001248306805565829,0.00785194735440908,0.00018987101209273262,0.0026090186506016267,0.00013089766386230542,0.000881323177090701,-0.00042175701332307814,0.0007914348915860684,0.0007356801967393845,-0.0003940442384088134,-0.0002891356611462595,-0.0006758147398100685,6.826474609058858e-5,0.00026099940024844646,-0.00021390317174914763,0.00015343699416457934,-0.00011614689054979529,-8.420931114110209e-5,-0.0002340948025534278,-0.00020907817554548645,0.00015356856873815282,9.27067311750152e-5,1.8233639359035536e-5,0.00013850481062717315,-0.0002145707711032799,3.272127673657088e-5
"rho_temperature",-0.004731297353233348,0.0024918653206564955,0.00029730034049475925,0.004928767217711682,7.832415982245015e-5,0.003621146049610226,0.0004278159776383829,-0.0005562349063176427,0.0007010311010128406,-0.0009789835543046249,0.0004780805374837159,-0.0009858380067744794,0.0003847059474887907,-0.00022586974663716753,-0.00014617073877497294,5.173845985970765e-5,9.822320303530664e-5,-0.0001939603942888099,-2.3615957171856735e-5,-0.00023823299535915442,-0.00019092639725243183,-0.0002520018722551951,-1.2733342777537974e-5,-6.673562565559811e-5,-4.3790260264310896e-5,-0.000149439674224262,-0.00023753473158190507,7.069010535876379e-5
"rho_ocean_heat",-0.00974552744907933,0.006367622216107863,0.0018383712762476275,0.006160632139263865,-0.0005493728092049304,0.0037318283895682943,0.00013797872889162148,0.0009120910892624762,-0.00010186051675021462,0.0004761139954314187,0.000502055658310267,-0.00045884072585038145,-0.0003344658343945556,0.00018803092419587968,1.2119123963620727e-5,0.00019278221426209636,3.641352207367364e-5,-4.20309591595761e-5,-0.00017452747549248827,1.0130613592355525e-5,-0.0004574337357580743,7.444412200716303e-5,-5.9967370159962574e-5,-8.231054068821674e-5,6.938436772791328e-5,4.2940420171748244e-5,3.068118754012018e-5,9.813708309307567e-5
