"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.008327676826734855,0.008079414359569041,0.0046647963593473615,0.005152519046968509,0.0035989954698911037,0.002854560237814083,0.0021810957038388284,0.0021421379643019223,0.001914254683843053,0.001888587865580197,0.001883031795837577,0.0019107532444508925,0.0019138748012337192,0.001907273023895455,0.0018984564738548767,0.0018996654374176336,0.0018739058670176837,0.0018738653872702078,0.0018744508770336316,0.0018709973878921252,0.0018717911154360683,0.001879933216093846,0.0018807932507853718,0.0018880273873605807,0.001889608839788177,0.0018929824146190425,0.001906669009660006,0.0019153376454377248
"t_peak",0.008065105973609245,0.005519588766013592,0.007013125418012145,0.0037560838985163467,0.004430443764177258,0.005574697082554161,0.006345493342769133,0.007301107800129353,0.007695723934421331,0.007877729746167319,0.008081602482099716,0.008155007063663578,0.008238155243367356,0.008289882785438175,0.00827294925967776,0.008244192372162541,0.00825258242390321,0.00822671832341692,0.008186363314812593,0.008170836203756277,0.008142890232627244,0.008141917196029235,0.00812651294529833,0.008113135299643038,0.008088169701906664,0.008093391950638275,0.008067994197866307,0.008067626748772358
"gamma_d",0.016919851777129766,0.01113027869148378,0.0030778990633739335,0.007740229267132281,0.0026493303796801242,0.003016827585905082,0.0015544931227156914,0.0017499131742745749,0.0020282298270328436,0.0022964307296088732,0.0025425655938249112,0.002763633773609767,0.0029490104508110835,0.003136210505065064,0.003307887866790635,0.0034578200060166073,0.003600671231695888,0.0037152479163710425,0.0037968733617428627,0.0038569170019031682,0.003920366699656686,0.003982062219944221,0.004061001894180434,0.004140534172892461,0.004220589121105151,0.004303397253910747,0.0043848218097131495,0.004463310612368467
"sd_temp",0.009354210478105642,0.022444202759020943,0.00595543756369777,0.005847527786565276,0.0023503047524988325,0.001984252894051165,0.0005013738416500228,0.0009709018659144502,0.0003885226721415659,9.025704325391048e-5,9.34595381135275e-5,8.772363646993927e-5,6.317566121791635e-5,5.316602196705883e-5,2.621201876647743e-5,2.6583534436816734e-5,8.720504711431207e-5,1.0712811282094943e-5,1.0867833844285104e-5,2.047119040052911e-5,2.927957142816653e-5,1.6438893297821067e-5,1.467144576979633e-5,1.4189379250159949e-5,8.021922206107074e-6,2.4903457129765856e-5,4.913589509023558e-6,1.0545252788303556e-5
"sd_ocean_heat",0.008257582083190107,0.008014857854042408,0.004937213973461425,0.0035086714664457654,0.0029045568253814806,0.0018834226475788003,0.0006216735850314165,0.0008637781322511017,0.00030222228734310373,0.0003662352845609836,0.0001097728295207719,0.00010065118634500575,8.370255626507363e-5,8.745961379250829e-5,3.2902172800770774e-5,5.775188752964797e-5,7.942985594194724e-5,2.525737498633064e-5,5.6059269658719155e-5,2.151117996076413e-5,3.7395445282950564e-5,1.395756099467254e-5,9.647641532624356e-6,7.838508852403366e-6,7.4948893101884305e-6,7.603805070746489e-6,6.914325870436665e-6,6.505826435004309e-6
"sd_glaciers",0.010529230516917995,0.007063590115999771,0.003998427440962131,0.005965219338955343,0.0031323696986961863,0.002544445592970344,0.0004906801981837915,0.0008271902422112197,0.00024720422103211736,0.00015844938406104698,9.222319115348437e-5,8.150385732474869e-5,4.177250204062779e-5,6.91380853274622e-5,4.806360551918345e-5,4.4611067637846926e-5,3.126148384947387e-5,1.7314002981371813e-5,1.762275365854892e-5,2.8481090765305188e-5,1.5986011162884133e-5,1.1293763766125489e-5,8.942560232769841e-6,9.174686408683142e-6,9.779586311714813e-6,7.903461984514695e-6,9.360203297109585e-6,5.359208496005217e-6
"sd_greenland",0.010244676859623011,0.006594666401903939,0.00904823607396697,0.0063691890277595515,0.002045798029684822,0.001358153941613066,0.0005397753219541872,0.0006122335741247446,0.0001722831947074381,0.00024614298206434914,0.00010371448552985625,8.606962505724786e-5,5.499159000544777e-5,5.803550207691723e-5,3.932296865216994e-5,3.909141979753748e-5,4.339565546542956e-5,2.561131871990029e-5,1.9403333077283823e-5,2.0737497636818805e-5,3.946397430185888e-5,1.497794590933953e-5,1.2860995081194434e-5,1.4898076309717131e-5,9.282554680784087e-6,6.568058742971427e-6,6.736723324097898e-6,1.0357315063388311e-5
"sd_antarctic",0.009451381270305752,0.004887346585726972,0.005612996503095654,0.005992934603851301,0.0016337758079067108,0.0017700729443731582,0.0010967473829127457,0.0004275997087985726,0.00017344682710681008,0.00017953795220542444,0.00010036888867958378,8.809116920189732e-5,4.068834799735166e-5,4.8224868308661e-5,3.7010519240014625e-5,4.292917670968724e-5,3.1189291784303746e-5,2.777270305511549e-5,1.9807904193995507e-5,4.456009200666057e-5,2.026854094737972e-5,1.2159676581234567e-5,1.9213696033714555e-5,1.4342223408354366e-5,5.975962290412123e-6,1.0155697705932808e-5,6.587036818603445e-6,9.984203557828841e-6
"sd_gmsl",0.007879983063097215,0.006848998461427086,0.005138815954852865,0.007717654325913743,0.001314061194383786,0.0018138686371456643,0.0005283472258487373,0.00033567339749196473,0.00015724943107350056,0.00012861697000756599,0.00015044642379792377,0.00014476506217689722,4.8714862283871064e-5,5.584304523704413e-5,2.8341215978703592e-5,3.781535880526442e-5,2.414083562331753e-5,2.1097065221426914e-5,3.3937480839062994e-5,2.055604856583766e-5,2.374181636498678e-5,2.2607936376440564e-5,1.9260398057114053e-5,1.1122214445385607e-5,6.940013527351841e-6,8.295315596275372e-6,6.31536882617426e-6,7.239007632016302e-6
"rho_temperature",0.008977226596588546,0.007225625754755261,0.00538859985865678,0.010257891970954293,0.002230960444339043,0.003762486087446609,0.0007853299414528097,0.0003260658800476147,0.0002182770303567372,0.00011631769991603635,0.00013340217659481632,8.649534467005891e-5,8.372016679566761e-5,5.481652523084347e-5,4.052635165820823e-5,2.7440010407438506e-5,3.787380874322894e-5,1.4844259891927195e-5,1.4947815096420673e-5,2.798149860031168e-5,2.9746062527341824e-5,1.3320593023035254e-5,9.598677227972193e-6,7.141418769581393e-6,7.357139174901303e-6,8.395771933854994e-6,1.3592652358814208e-5,4.510430017828778e-6
"rho_ocean_heat",0.006952692755386907,0.005398998195093213,0.004772727519395924,0.006182284070859037,0.004261156171136438,0.0018638080538536622,0.0008000159828068321,0.00047087502711507304,0.0001606131402903197,0.00014431092691235582,0.0001301233554225554,5.571654837066184e-5,3.342472868765251e-5,4.900501877854177e-5,4.6371255219070006e-5,4.199450801268961e-5,6.0639199738250984e-5,1.9006580732469228e-5,1.4720594533093775e-5,1.582561727010965e-5,2.8471634538546546e-5,1.668220991743325e-5,1.1231164365416437e-5,1.1975151251715467e-5,1.2339643705649969e-5,6.67531141433451e-6,6.543672665113137e-6,6.1937757269076756e-6
"rho_glaciers",0.009262727135927892,0.02383347435573999,0.0059357180694312745,0.00840813837362082,0.0019123700444513988,0.0008670369379360465,0.0007176868933248316,0.0005435232150724016,0.00014765707587766658,0.00021633728454026923,0.00010510482708102503,0.00015583458867003764,4.88478616819344e-5,5.4187678613924204e-5,2.9518867102186606e-5,3.6713550250502286e-5,2.6193344254159028e-5,2.782161183411502e-5,1.3859322401983597e-5,1.3032902516947805e-5,2.188354861226977e-5,1.0582886348287293e-5,9.89139733351095e-6,6.955829407022757e-6,5.9128827503394375e-6,2.1197182590874563e-5,1.1396145502767496e-5,1.739786223283275e-5
"rho_greenland",0.008126640820807914,0.010120096870952569,0.00462659825687587,0.013207706848083086,0.002046344769856368,0.002256285395917409,0.0010054717541232072,0.000270786754788049,0.00015914682643900047,0.00012690196346667584,9.234474708605041e-5,0.00018149520829732727,0.00012413724986367442,6.665191891743909e-5,3.1341135934808864e-5,3.0584116409611826e-5,2.8851381106805357e-5,1.3622718037165072e-5,1.4790484230486055e-5,2.298790780588962e-5,1.943739496220364e-5,1.2992789792572065e-5,1.5683401175764882e-5,1.55866155447428e-5,8.3970665833741e-6,2.387794300580442e-5,7.624086165326117e-6,1.2404464399299313e-5
"rho_antarctic",0.00985287359391013,0.0054723334084213725,0.00572008267005382,0.010287011895949758,0.002721418457219528,0.0013770775597088144,0.0010724742726636362,0.0005416639997133133,0.00021516757875901112,0.00014312121504385755,5.871621453322104e-5,0.00023587030582695467,6.516592242980526e-5,5.158838586895028e-5,4.5223545098251364e-5,3.0370515481257396e-5,4.712201219972435e-5,1.730123051498047e-5,1.8440214303142377e-5,1.944391838895912e-5,2.508010318120969e-5,1.0442607993069904e-5,1.1491290862502417e-5,1.1483824887423304e-5,1.183110565388183e-5,8.899449687854608e-6,1.42770401085122e-5,7.5507594941233835e-6
"rho_gmsl",0.00558558255487569,0.004597091196499472,0.0033715719938451527,0.0031110425874567053,0.001547252454482844,0.001237672286248496,0.0004264268164599174,0.00033420309544254003,0.00020354727940942962,0.00010755640690542385,0.000100211292043133,9.268852348020869e-5,3.6468533736052815e-5,4.228217020490383e-5,2.4363005354065068e-5,2.6108823236880915e-5,3.572922934675744e-5,1.4488483498040108e-5,2.2339985363348652e-5,1.6568811793206744e-5,1.732394274892413e-5,1.0577262618825595e-5,1.35683737632778e-5,6.46925988821938e-6,1.0532724318890846e-5,7.630225831336655e-6,4.710563845498494e-6,5.431313611293953e-6
"CO2_0",0.01071390359660028,0.007430526073117092,0.00409213412874679,0.003696008371641979,0.005111427509820994,0.0015054855044467587,0.0011240946014927612,0.0003475028784866466,0.00017235989484751043,0.00019228119624097083,9.056373542054973e-5,0.00023186713147118457,5.5934493043080006e-5,4.161292145235685e-5,2.5378223624617935e-5,7.2075266928214e-5,6.18216583372798e-5,1.937543069960801e-5,1.4165842570608721e-5,1.7902054802217146e-5,3.265328079566555e-5,1.1530951517920059e-5,2.0347419294899843e-5,1.64943631555007e-5,8.200913531122533e-6,1.813385532748706e-5,1.5305471904727968e-5,1.4181274940797555e-5
