"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.11321299912204404,0.08994690664733103,0.06092447923483666,0.06532645270364558,0.08561003952247949,0.10017054518890596,0.09560610551771972,0.09174373129268376,0.0877733498039276,0.08566649853442287,0.0831549400785099,0.08192314543581214,0.07992666930715937,0.0786715550260668,0.07701472022053545,0.0760303645227413,0.07506328144128441,0.07430163397065079,0.07353521620251663,0.07252429842307617,0.0716777029917532,0.07070592249628307,0.06987703275046667,0.06917817384599423,0.06834827604397271,0.06774186535278232,0.06704204075686757,0.06642765732457416
"t_peak",0.11301300754540794,0.08017142240767665,0.06738166587694275,0.06514025720092284,0.1204589580679819,0.21529529965303337,0.3066986503728964,0.3861670096164237,0.4407252810554275,0.4811541416290011,0.511248888065342,0.5301709504221338,0.5441102013199478,0.5517302079342236,0.5569524262726416,0.5594148353395985,0.5615074055193447,0.5620151972158184,0.5616929512646888,0.5606354015788562,0.558213476846447,0.5558612670343288,0.5523690549765101,0.5489980413418518,0.545848953397784,0.5423838869282958,0.5385294273359489,0.5358092608866616
"gamma_d",0.12946108490751876,0.09638310637488591,0.05272944465155162,0.0468348237216091,0.027316161185142036,0.023255147770246863,0.0276442889123655,0.04002489853017107,0.05235208631856692,0.06577152047777618,0.07840855859566359,0.09050704505067542,0.10170120593397028,0.11251954386212554,0.1223048341709652,0.13141703495483334,0.13955993762627686,0.14595579780909423,0.15057723146757623,0.15428638600831787,0.15837370885706858,0.16201821443567146,0.16623416125150978,0.1703138209735419,0.1741919003834595,0.1780425501026593,0.18161780663474977,0.18510283852366435
"sd_temp",0.11864498061687574,0.09979967715359236,0.05936907752764906,0.04284715052616485,0.022596337573020573,0.011604915420911553,0.005165401495020065,0.0040479309274768695,0.00202351771979949,0.0011693788349840528,0.0009489689941121496,0.0007499183691224049,0.0005222563907039835,0.00043241923451749957,0.00030905812109043355,0.0002700974767246147,0.0003298744223560568,0.00016006735999714934,0.00015040541326798022,0.0001655646481950338,0.00016020797927111322,0.0001403577095473528,0.00011120306473298862,0.00011886984339184112,8.227276688751015e-5,9.966164591542634e-5,6.380473202332264e-5,7.594874091662735e-5
"sd_ocean_heat",0.1136229880350016,0.0885902992497201,0.06251163757886581,0.03962960797551049,0.020716630114262186,0.011760103308806795,0.00520253392074037,0.0045571404192073445,0.0020128247117730358,0.001625085712437805,0.0008910987953527686,0.0007226766935685591,0.0005281852362848065,0.0005417573277138889,0.00033825164817505586,0.0003377805369567641,0.00029731398914873813,0.00020116081753853874,0.00020786499865375877,0.00016781740577972824,0.0001679379985673527,0.0001263240759909004,0.00010616857180281452,9.01825180513612e-5,7.987033906272135e-5,8.210685235429508e-5,6.890433322792942e-5,6.499293764004222e-5
"sd_glaciers",0.11333283655701187,0.08226580010083422,0.0568180488879417,0.04158160458499705,0.02304817127545347,0.011984713418460104,0.005194271690952189,0.003852454066444101,0.0021426692664983033,0.0013895859027476024,0.000969712764839904,0.0007038407168106541,0.00047922302318120644,0.00048161468645830844,0.0003545369773719201,0.00031996357332053616,0.0002664677035793013,0.00018497463160877504,0.0001662146339681701,0.0001617374511920808,0.00013453266218293309,0.0001167228718045438,0.00011093751933134578,9.540261406579885e-5,9.322694702954061e-5,8.17893451698355e-5,7.653810860879697e-5,6.102665923012365e-5
"sd_greenland",0.1152921894192147,0.08114794081987042,0.06851357723496791,0.04396012412338038,0.0204504216807679,0.01115564504175629,0.005421285429710021,0.0033357197259905797,0.0019192723317889722,0.0014143188732584292,0.0008865239183639733,0.0007247210174692672,0.00048113168310105634,0.00046682696191470034,0.0003400900895237311,0.00028280993215467666,0.0002771762240991903,0.0001941887794624964,0.00016832787847099456,0.0001506636455566092,0.0001713232743018971,0.00012113968897951491,0.00011322979260036876,0.0001135799846515093,9.273029643116019e-5,7.453450093562764e-5,7.07336440917588e-5,7.425713109668691e-5
"sd_antarctic",0.11600626807001428,0.07814558147241017,0.060079619556516604,0.04495511586197738,0.02016001561412535,0.01191757992161102,0.006143036152295498,0.00337725349188016,0.0018775827759136123,0.0012692294991982498,0.0008554313686898952,0.0006773462835970188,0.00048116992365331604,0.00041418693398544853,0.0003127837115797758,0.00031952833337919103,0.00025561928826548907,0.00021416375918123344,0.00017208277012354805,0.00017599937565034788,0.0001566765639640639,0.0001258469551849335,0.00012712644734347468,0.00011432393161234862,7.873603724990879e-5,8.340906858113688e-5,6.502415679822179e-5,7.335843095868506e-5
"sd_gmsl",0.11443211648255602,0.0840561151359976,0.0609370703689537,0.054846629334886626,0.017885412281492465,0.01176832977839133,0.004704508174942469,0.003075238599029305,0.0017074964344672594,0.0011871620307915833,0.0010018687692455604,0.0008696905100315769,0.0004755810888377347,0.0004391842070395395,0.0003215868515661837,0.0002762952222417856,0.00024146003248879676,0.00019863769595477356,0.0001982306497989248,0.00016073316882293342,0.00015304919391783648,0.00013485106802471112,0.0001131450143418967,0.0001056955362423312,8.017352683304398e-5,8.046069614724026e-5,7.001435704793711e-5,7.228054747743541e-5
"rho_temperature",0.10439083825229091,0.08153317683634949,0.06303250374245059,0.05231496683741058,0.021448951160290847,0.014735706376421099,0.006027752622239265,0.0028664237082966833,0.0019992294988693954,0.001299084628263666,0.0010051992761651233,0.0006754297263249071,0.000504241584652939,0.0004216131743979751,0.0003700834976490836,0.00024330962165260617,0.0002664202227401972,0.00018132278645383536,0.0001538600433762643,0.00017379966247454287,0.00015624982511631505,0.00011681112962534277,0.00010005014170730025,9.642258877556623e-5,8.852541895998905e-5,8.391505218109183e-5,8.592991776631196e-5,5.943840939882891e-5
