"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.004897307244994391,0.003695959264893643,0.0032549714545335013,0.002853357869324028,0.0024652699892530497,0.002251998101187166,0.002481219641472389,0.002571831924627323,0.00224373016985519,0.002310225598461655,0.002108167595630604,0.0021203421495711136,0.0020295453907837107,0.0019996004230744355,0.002014681856106224,0.0019641146210947003,0.002004174932979429,0.0019955789372759587,0.002066055637465201,0.0019524372452207892,0.0018362255815183126,0.0017363074204595351,0.001643999415792568,0.0015801308516286711,0.0015288321097063913,0.0014816393222397053,0.0014358545418760515,0.0013845657139324127
"t_peak",0.004812599419023746,0.004143987686224372,0.003544776310378369,0.0033917243721100897,0.00467668479209721,0.006165905143837526,0.006946026746234721,0.007315507842224818,0.007342595813604085,0.00719908072124867,0.007046110218748835,0.006911906634512464,0.006789716789947973,0.006495306374892484,0.006305415365029452,0.006116201729120662,0.00595175371160587,0.005766977431897161,0.005650602924948895,0.005566580686668325,0.005487695225957854,0.005413950859900336,0.005353836657113302,0.005269166712037873,0.005251338963595842,0.005208243123631286,0.0051460428504688255,0.005136298202541635
"gamma_d",0.005235345913637141,0.0037904191274734243,0.003121345870747957,0.0030631703536669243,0.003667161469133034,0.005524133974274135,0.007708528252769094,0.00949647757617494,0.010607062461399584,0.011566730693011305,0.012256843532469208,0.012833520055125922,0.013214712828574726,0.013554349817564378,0.013841298721660603,0.014009224742125624,0.01414539614010915,0.014347983112338489,0.01449784652417498,0.014580326192389245,0.014573888138639536,0.014558849962882587,0.014609601556828524,0.014600836132624527,0.014605257172385885,0.014609822864350523,0.014615490934553183,0.014645541870902523
"sd_temp",0.004844990259929367,0.0037057812920185773,0.0030339621639027888,0.0030603737091628486,0.002014676517410813,0.0018118059163118375,0.0015743840119582626,0.0019377494696726175,0.001063348510006352,0.0009873633065409695,0.0008617186988511783,0.000702937930828828,0.0005841455069082484,0.0005724667174838368,0.0004960161086551814,0.0004462677253925525,0.0006503395519142139,0.00033653612884758415,0.0003506055321121037,0.00038988930766257714,0.0004032344647136936,0.0002872473264705129,0.00023668115383931326,0.00025458469679655543,0.00025085614790952955,0.00035176589400259323,0.00023351333256952048,0.0002784119332292431
"sd_ocean_heat",0.0047178048904341725,0.004275693816188192,0.0034897803488169866,0.0027499495477444464,0.0022210173034853376,0.0020230613939964765,0.001449778057140286,0.0018304919432216985,0.0009878411234217985,0.0014115920329751635,0.0007517389072067328,0.0006463976361420891,0.0006687665291469003,0.0006335554012279713,0.00044630433681615696,0.0005055522503648035,0.0005653578396070852,0.00034632753712275237,0.0003513112763466283,0.00035461668211154805,0.0003022099865791498,0.0003002332074232484,0.00026277833175608205,0.00025174241923732124,0.00023944286939861726,0.0002466865225352409,0.00024029196260069732,0.00025377193622213077
"sd_glaciers",0.00467635092988934,0.004003058246831985,0.0033134023316447794,0.0029455504474279457,0.002470798104500227,0.0018441684173475627,0.001524063791076474,0.0018549897687365673,0.001341012578106934,0.001055749658260278,0.0008077049881066776,0.0007009356500524153,0.0005979713750290155,0.0005384601307727833,0.0005108881609823941,0.0004890481891979716,0.000467538023053179,0.00035292816410373805,0.000334044441896895,0.00040904261259072953,0.0003040769189303478,0.0002630969963377151,0.00025588470618204335,0.0002621152651147357,0.00025204116472118466,0.00025281875817418574,0.00022571236518154493,0.00022252970296269344
"sd_greenland",0.004692930065256048,0.0042885946430182885,0.004072735176796017,0.0027468040246348743,0.0020787262589974575,0.001926655664911232,0.0015128607810686264,0.0015542750026674066,0.0011391567167267013,0.0012111317932736942,0.0008853917641199604,0.0006582108925678196,0.0006057859698694258,0.0005427713320340332,0.0005156700318588181,0.0004518394179290997,0.0004481275197300919,0.0003673213245446094,0.0003251035625197695,0.00036267695339843077,0.00042995304477488465,0.0002844502990742148,0.00026060766232917083,0.0002696238857304285,0.0002541308857949929,0.00021748226861015204,0.00023148489455257983,0.0002623361589036421
"sd_antarctic",0.004891720205645967,0.0037499277852542003,0.0033235426608005975,0.0033077018827260846,0.0020181356450292664,0.001893918352861542,0.0016272962028067337,0.0016810955090045547,0.0011465680829510186,0.001062567693020021,0.000715414036421396,0.0007246870901364164,0.000596890593968955,0.0005545162365104875,0.00046888632943685714,0.000488955564131511,0.00040965318036607516,0.0004007191584567298,0.0003337417684289867,0.00035978528309458103,0.000364839559196213,0.0002965861545748877,0.0002769219853176894,0.0002430134807469926,0.00025387784137702616,0.00024960332648482,0.00021871930015955233,0.00022133007671809363
"sd_gmsl",0.004810244123873915,0.0037314905841325705,0.0036474079894804686,0.0032474626018282426,0.0019386572142318635,0.0018293930645822208,0.0014643516828196437,0.0013930891891444468,0.001021958697475213,0.001037145667824862,0.0009531936664077871,0.0007317575320149734,0.0006146331461374022,0.0006126062733076712,0.0004479159319073595,0.0005129728871567493,0.0004438060976333457,0.00035381903397340255,0.00034713200505263913,0.00038731929832599245,0.00034233146637987545,0.0003524750361414764,0.00023947855114579304,0.0002589859632326677,0.0002167841808452782,0.000258267078471701,0.00021745897568057826,0.00024123190368461524
"rho_temperature",0.004523677964518162,0.003474274669281439,0.003093907425389559,0.002812806136579461,0.0020683926387761297,0.0021023817056479563,0.0017105807722043221,0.0014913786393044662,0.0011611667775238603,0.0009353911973796807,0.0008727192487772736,0.0007286820120966435,0.0007436466019833937,0.0005036074048565558,0.00048480141701666836,0.0004543581896632546,0.000493542429397086,0.00035403564102618796,0.0003406130910290099,0.0004360823046111709,0.00035121619258023275,0.00027786553958880953,0.0002896213480418022,0.00028785075349114223,0.00025479627963743187,0.00022778834181920245,0.0002662929918303755,0.00020107865566919452
