"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",3.7543331778799254e-5,0.003408242583857738,-0.004047716818734914,0.006716664381723441,0.004365865153584824,0.0028356498268057254,0.0005775433122824741,0.004191500825208585,0.0034784727345015974,0.0003115626465499027,0.0013692920654252779,0.0010266329268991692,0.0008870988707430791,0.0007864490404380327,0.001848129536739561,0.0007505702899748104,-8.586974562729652e-5,0.0009505081020813054,0.00042280707106025336,0.0003261782612537879,0.00024478594639256834,0.00038929654628362616,0.00022495616704706716,0.0005568837385275392,0.0003655604281640189,0.0005070409383320869,0.0008626996518172814,0.0007335980888857476
"t_peak",-0.00577038658228432,0.0070591534840165615,-0.0009802191511623503,0.011059491775784669,0.025695087404620807,0.04426398036613247,0.05819824449084238,0.06388805157916069,0.06097276873992931,0.058575754962202235,0.056209968652323854,0.05215118514144467,0.04778171475196457,0.046397755764432495,0.04267801182455663,0.03994405065504067,0.03829340370279055,0.03642925724235913,0.03614587102596131,0.036140267649225725,0.03577424220752439,0.035774818584476516,0.035691872803618636,0.035880229353160625,0.03598250553223735,0.0353748444608223,0.03600018540836281,0.03573589064054639
"gamma_d",-0.0024082854426067317,0.009967314482432833,-0.002151330763591288,0.00950426615856984,0.01649435120325338,0.04908862281586862,0.10719844011808091,0.16765990483619328,0.2280941271756173,0.2816478492876301,0.3285608221175446,0.3668050810517531,0.4023309939161971,0.4313054541395714,0.45828860113873615,0.478491064304585,0.4984194566748974,0.5146082574640723,0.5274754398147989,0.5330802711963916,0.5372507317454072,0.5400373114281385,0.5419630541793174,0.5446970776690955,0.5453617182484836,0.5454192212193074,0.5457818942788971,0.5454456257292307
"sd_temp",-0.005604051196740975,0.00599749184776796,-0.003637072568621811,0.0018304814024192903,0.0013636694066143972,-0.0012890501128675028,0.0021075028068512744,0.0012664510040836646,0.0003814809281336199,-0.00018108220317605673,0.0006845330931801845,0.002071107915912563,-0.0003711883101753664,0.0007427026561139919,0.0010457230311907409,0.0006434505273764984,8.808638456375597e-6,0.0003532102336960565,0.000211148624539656,-0.0003341746479451547,0.00011020404693666436,-0.0003235145832372324,-0.00027155457198429095,0.0004394680380750141,-4.667027626788041e-5,0.0001160653628466033,0.00012620717873944496,0.0003610742093629557
"sd_ocean_heat",-0.0014316974707629375,0.0028238641338566802,-0.00034257297767117874,0.004214297072441456,-0.0006571020167974717,0.0030508390345845345,0.0006012508024599646,0.0007460392543200329,0.0004160438629315003,0.0011781455174164211,0.0007034723514084869,0.0004947437546815238,0.0005273650741193145,-9.638162001450954e-5,0.001120873772732454,0.00017198871919954576,0.00028200578701038573,0.000749333009119638,0.00038905821055032773,-0.0001813330536854082,-0.00012510298808693463,-0.00033745357831856056,-0.0002839972447260167,7.245876878146106e-5,-0.00020225008030440756,-1.4570952931373224e-5,0.00023150209417975305,0.0003868774015252626
"sd_glaciers",-0.0010092390038114,0.007597309773835853,-0.0025751268204180938,0.006969598321207162,0.0036732625146665946,0.0004367341762957437,0.0007618130774537351,0.0025143601741364086,0.001692782286044514,-0.0012584083467113887,0.0004900174372445402,0.0005441786754608143,9.00093975253011e-5,0.0009519014626318812,0.0014150971676564108,0.00043067209331044227,-9.807737905496423e-5,-0.00031234002054087286,0.00011997953123758774,-0.00032671928014210266,-0.00036144512527764677,-0.0005683996190576864,-0.00011975228050316791,-9.255377926511068e-5,-0.00010106575415235834,-0.00023066053041182234,7.725845161100437e-5,0.00020084668916202627
"sd_greenland",-0.004656545850391708,0.006661692194966963,-0.001983669355618806,0.003143616823881473,0.003262158779551814,0.0009764186296593407,0.0020762001886650934,0.0013708016650026034,0.0010497717669563482,0.00030453777910560465,0.000980959635211902,0.0012589699117024969,7.191797847412399e-5,-1.7152708906094618e-5,0.0016285631903415554,0.000902645192492708,0.0003739201683024818,0.00041210175903158076,0.0004186335724142146,0.00025021477335891566,-0.0003263717002469824,-0.000393651117179029,-0.00028823456340734346,0.0006367428312278215,-0.0002530173803968741,-0.00036991223674042893,0.000173340383051563,6.486244067417754e-5
"sd_antarctic",0.0018403569798038251,0.003798028980993214,6.229457412993127e-5,0.005322699031243172,0.003011509281728361,0.0037954910101759025,0.0007011857736995651,-0.00116398712263964,-0.00016452252182912335,-0.000473706525055251,5.0760367823119824e-5,0.00040883945010238666,5.191400582286178e-5,0.0004512417556621838,0.000758210615016798,0.00039694406943902933,-0.0002871436391112605,-0.0001905293226625127,-9.73489319598772e-6,-0.00042381112533605855,5.644457227543664e-5,-0.00026434301238948294,-0.0002763484455023255,0.00019642618340322068,-3.527699627460154e-5,-8.727026477662806e-5,-0.0001484913125862421,0.000461035998265333
"sd_gmsl",-0.007075096397710829,0.0050015127308101065,0.0015561748090010073,0.009760097228337592,0.0010748952474328591,0.0005632100568937142,-0.00031005064092254103,0.000822108726542199,-0.0004448855586883038,-0.0007478372920068553,0.00044524532342634634,0.0006847424932933012,-0.0005890720176748821,-6.803587086720971e-5,0.0009600109804826331,0.00043783264033254174,-0.0005116417942757365,0.0005244901767793916,0.0001256408894130942,-0.00024271193080031633,-9.675232849327095e-6,-0.0005177118919467163,9.04956168753703e-6,0.00032594289155829336,-6.021914323910865e-5,1.2556261678099462e-5,-0.00023505608817099704,0.0001703063931661498
"rho_temperature",-0.004720529152619917,0.002377261799841557,0.0007551558489416829,0.004742457040604421,0.0029783000948252376,0.002709083847139489,3.232674156403928e-5,-0.0005611651519791621,0.0023744112861480123,-0.001713894633301611,5.332988756972487e-5,-0.0007229921794025415,0.000809469011077774,7.783944976775765e-5,0.001164189998806455,0.00032234600045237874,-0.00016802580713001292,-1.5182114384935786e-5,9.045687145186086e-5,-6.355392944814573e-5,-0.00026242117392943334,-0.0004453825269532751,-0.00021080935415019095,0.0002430281865492261,-0.00012258896573281465,-0.0004332242966402534,-4.3345773067631695e-6,0.0002027576378317186
"rho_ocean_heat",-0.009741324175520859,0.00626611519825728,0.0019796832310582536,0.006200396411756287,0.0008124346288270882,0.0026214081952071473,-0.0005878523623497578,0.0013297205121108574,0.0009958881754666149,-0.00014027255541269168,0.000802734695318082,0.00046666183551886525,-0.0009692286401176966,0.0007999071919312042,0.0009241405501669122,0.0004368493612160838,-0.00016713413223597417,-0.00010678667432251985,-9.427943422944877e-5,-0.0002361010602979533,-0.00040430360195535563,-0.00022384612168406195,-1.0292032173424883e-5,9.86959899295176e-5,-1.3400584279409111e-5,0.0001393962569403537,0.0003094822413488876,0.00019225233585718385
"rho_glaciers",-0.007238471088298061,0.005997158477038425,-0.003933983336075604,0.0022378702391735684,-0.0009363778309773725,0.0018821653715784424,0.0018177964778843,0.00025675088885009496,0.00046231702823791343,-0.00015771430601999902,-0.0011437216246834156,0.00028958732282685466,0.00026031458612423773,0.0005811446634113658,0.0008615164890646166,0.0006435174379498181,-8.614528023878268e-5,0.0003667491002393194,-0.0002984688196409977,-4.692661050943194e-5,-0.00033564221968334436,-0.0002472415464866765,-0.00026343184019511255,0.00043250868721351695,0.0003113482603103566,6.461262946174557e-5,0.00016977528670952257,0.0002731989927033791
"rho_greenland",-0.0009265643075989887,0.0051257680255149644,-0.003593954404006907,0.0022841627156400214,0.0021393226032194153,0.00256815444187196,0.0005452753794629189,-0.0005612544841957779,0.0013927878291788347,0.0007388650891355164,0.0008124527895984377,-0.00010294466573806248,-0.00024173911090694084,-0.00019911547685352168,0.0013710062195764793,0.0007195930589587572,-0.0001422139950629731,0.0005347494220866064,0.00018629300135998935,-3.5041598155372075e-5,-0.00028808353565728655,-0.0004942868452462668,-2.5349648922872954e-6,0.0001576633989473631,2.5847472256007607e-5,-6.306549575695402e-5,0.00016206098149744346,0.00015266884517922338
"rho_antarctic",-0.002265042629907743,0.007638979834343699,-0.003184306642815491,0.005623395154624589,0.002849864139237624,0.0011618279889631386,0.0011308535581170392,0.0005571320112098126,0.001358759267501515,0.0006618744462659273,-7.383355418189939e-7,-0.00038333530590018864,-0.0006125163205079193,8.555364014250083e-5,0.0014695418057965373,0.00023382374474101395,-4.986647006225438e-5,0.00028170810463815863,3.384027830420851e-5,-0.00010007918449473072,-4.270500012965765e-5,-0.00045626272543505624,0.00013469946518551704,0.0005274499406585984,-6.788548654527452e-5,-0.00021586887330942133,0.0003867636723510731,0.0002685664039290619
"rho_gmsl",-0.004043864498468818,0.005093227648407577,-0.006346018004272981,0.004377038187706582,0.0013727355957718233,0.000702984876849727,0.0013344930812747566,0.0013634118517368737,0.0016262838586554391,0.0008036698715544825,-0.00011435010455452005,0.00015176866915278065,0.0003262884910845241,0.00011760749439909084,0.0009832491967097013,0.000654149055587433,8.418462284182666e-5,1.5306478145063394e-5,-3.636788107469435e-5,-0.0003248049185838577,-5.6759967062511684e-5,-0.0006407314655001837,-0.000261996262849086,0.000379501287189594,-5.9819771426778784e-5,7.599224186950043e-5,-0.00012003968326788592,0.0001676825319228977
