"parameter","gamma_g","t_peak","gamma_d","sd_temp","sd_ocean_heat","sd_glaciers","sd_greenland","sd_antarctic","sd_gmsl","rho_temperature","rho_ocean_heat","rho_glaciers","rho_greenland","rho_antarctic","rho_gmsl","CO2_0","N2O_0","temperature_0","ocean_heat_0","thermal_s0","greenland_v0","glaciers_v0","glaciers_s0","antarctic_s0","Q10","CO2_fertilization","CO2_diffusivity","heat_diffusivity","rf_scale_aerosol","climate_sensitivity","thermal_alpha","greenland_a","greenland_b","greenland_alpha","greenland_beta","glaciers_beta0","glaciers_n","anto_alpha","anto_beta","antarctic_gamma","antarctic_alpha","antarctic_mu","antarctic_nu","antarctic_precip0","antarctic_kappa","antarctic_flow0","antarctic_runoff_height0","antarctic_c","antarctic_bed_height0","antarctic_slope","antarctic_lambda","antarctic_temp_threshold","lw_random_sample"
"gamma_g",0.0,0.005004118645434547,0.0027985011254627245,0.002043262928887011,0.0018848277005787044,0.0018952007444827034,0.0021162086937567214,0.0019754846484568004,0.0019171917997501307,0.0018570459519183144,0.001995360815428322,0.001905767834438119,0.001881376570185263,0.0018571525282914353,0.0018822693829581654,0.0018415596301315908,0.001918166009627645,0.002061790253048653,0.0018770738207987713,0.0020022508828071773,0.0019434436969260626,0.0019257176697598472,0.0019301503208167955,0.0020046100363924476,0.0023345092142878533,0.002236540518633894,0.0019037929593265115,0.00200381769367771,0.0021394043263775627,0.0024231901337414593,0.0019775345282540256,0.001673878808252156,0.0020121220847656067,0.002046280964247302,0.0019408166016688917,0.0018747618336391535,0.001976169718441084,0.0019401334118130194,0.001979985770722581,0.0018482538789633442,0.001891363405663654,0.001943152446331829,0.0017762657715905666,0.001657501380459592,0.0025154690792697676,0.0022276732189860783,0.0019060498684717654,0.0019055759158409572,0.001927799205949051,0.0016435347036258471,0.0018364801120864642,0.0021988798211442203,0.001712237278878615
"t_peak",0.0,0.0,0.03709062871792596,0.0028727988247976627,0.002238678147754371,0.002764910077959363,0.002702744654723368,0.002680823224371424,0.002706902893419801,0.002504308129976187,0.0028996735097790473,0.002306916353089395,0.002724481111605992,0.003185885854848082,0.0029183377929985037,0.002577791206475784,0.002422709641548477,0.0024423728466612103,0.002931484000495381,0.002433043565764529,0.002642998985943472,0.0026919954965168545,0.002435745316248074,0.002490835833887382,0.001733604345983622,0.0011614291302008452,0.003062791483035759,0.001377579955586191,0.003064288583061724,0.00802011542772811,0.0031273461777527947,0.002812252587430152,0.002908425877338742,0.0036867892682775,0.0025138618808555322,0.0030395813303071423,0.00258105720021906,0.0027499860772865407,0.002558699273260501,0.0019142976932487485,0.003020708439607961,0.0026224813326355513,0.0027284927064878776,0.005318801296885706,0.002816535014145882,0.003319712576870482,0.001730936767676943,0.0029526148810237658,0.002872903452212962,0.004381267014811975,0.002809587988241906,0.007308974010771274,0.0017829994590288262
"gamma_d",0.0,0.0,0.0,0.017657101011811553,0.017591654550593736,0.017211423885583572,0.017167469656057026,0.017117616008387296,0.017760516215727735,0.01722719261377076,0.01776112343406592,0.01687731724041131,0.018191630723574274,0.017973907188346152,0.017291472082794787,0.01791837171748772,0.017460271449533802,0.01787687313863961,0.01819403465843958,0.017113875276811446,0.01741126810133911,0.01776842155692012,0.016488704707822696,0.017996547028322336,0.019561930019378147,0.020898018707148323,0.023186020392772053,0.019144730680971733,0.019994376120291393,0.02693347691891125,0.017717190278359544,0.020059668093779008,0.01821870149696245,0.0173257800228211,0.017480623195825565,0.018156852152775373,0.01734957183702537,0.017645005643402805,0.018840714312323713,0.01745323194804426,0.01856588445577855,0.017979077099807728,0.016967512667519714,0.023302625623131287,0.01919077468440208,0.02011345948945469,0.016309836390083265,0.019390118760851102,0.017697240166799886,0.01815277816910461,0.018644097943229326,0.016682991796237716,0.018774916514618187
"sd_temp",0.0,0.0,0.0,0.0,0.0004312223070840775,0.0005463564396475147,0.0005820426158748941,0.0005827679042144206,0.0004955310333867024,0.000524876409305467,0.0005516199270518635,0.0004916881589903525,0.0005214376104681357,0.00030939336529592256,0.0005456778720969669,0.00045541135881875587,0.0005340065821130021,0.0006038158236317912,0.00048162742942316254,0.0005965948178511366,0.0005239187873236267,0.0003589463475973127,0.0005348331734668206,0.0005196359144577692,0.0005139606444322235,0.00037778556666396456,0.0006065855169793377,0.00047556867333581576,0.0005844643380188689,0.0004914161079156168,0.0005446011062652346,0.0002945043721086927,0.0005726384809357794,0.0005847208097499832,0.0004528484423911715,0.0005208790173590491,0.0005376647894433112,0.0004363428542899236,0.0006476258094240372,0.00042750697737097286,0.0004723301863435789,0.00046723770927187687,0.00038077546896497864,0.0008351240756920606,0.0005872611533463549,0.0002895385838830334,0.0006449794922555225,0.0005229184452869105,0.0005875231804230666,0.00020644187543058615,0.00046205333959831586,0.0006839415283418956,0.0003847775782265967
"sd_ocean_heat",0.0,0.0,0.0,0.0,0.0,0.0003294585865898458,0.0003288261996997609,0.00025865242241844463,0.0002536007494431103,0.00030735815769843,0.0003806885506000431,0.00031972955665412323,0.00026596487741107326,0.00018039384633216745,0.00034833330537256674,0.00028768472574594036,0.00028355486874175994,0.00037683051072767704,0.00031797300700930865,0.0003133810033562929,0.00025738296096979886,0.00026659935199611185,0.000334064303890137,0.0003154156341754853,0.0002181544599522842,0.00021057757837526092,0.00026433996100046897,0.0002802016917651266,0.0003916331992171236,0.0003127757413707879,0.0003311170563750422,0.00014363567687849274,0.0003460617157599455,0.00030211065517726066,0.00024438809527533,0.00029648104210187935,0.0002522612799027675,0.00015647036702567732,0.00024018540820253231,0.00023662846486750607,0.00021975663246565002,0.0002833082128003118,0.00016023278781141607,0.00047021573317765944,0.0004060730428027066,0.0002843141962431616,0.0003856624203078904,0.0003077114720407826,0.0002554166311931,8.955086254003119e-5,0.0002888255874043708,0.00040110677273661323,7.527612433976392e-5
"sd_glaciers",0.0,0.0,0.0,0.0,0.0,0.0,0.0005924916489486517,0.0005460688121372762,0.0005363724355990467,0.0005504211320213471,0.0005406495106958216,0.0005234165558261769,0.0005180219529471823,0.0004415332250426627,0.0006446671331617965,0.0004608508620062622,0.0004729397967933675,0.0005870396178322996,0.0005524329622615526,0.0005524705500096859,0.000575339396756502,0.0004952576553177929,0.000602082866047849,0.0005547676407548413,0.00046837082848434256,0.0005794487388409045,0.000594488029336268,0.0005274613108447825,0.0006659295242765251,0.0005201918093733649,0.000562154067884603,0.00042516066557236914,0.0006126200731012795,0.0005651350070368608,0.00045694068459052053,0.0005302788554008572,0.00053002565545725,0.00043730018771516915,0.0005355031742300642,0.00043596541445312234,0.0005034585947613541,0.0005281561284693321,0.0004393749001828337,0.0008229632276515477,0.0005107314725265995,0.0004533933890029592,0.0006086441730171746,0.000522432437434308,0.0005150598696334137,8.511146426919747e-5,0.0004436755148146381,0.000525236349522338,0.0005070784212275841
"sd_greenland",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005383088659177584,-0.0005197315139800211,-0.0005823244136951806,-0.0005154524433977387,-0.00048656686416469175,-0.0004911496816419965,-0.0005318237441124363,-0.0006433809823766525,-0.0005329138237849757,-0.0005249354845385138,-0.00043766220699483833,-0.000485732265062732,-0.0004906921791976375,-0.0005818779674572297,-0.0005464571337879045,-0.0005220833909692522,-0.0004512634552183653,-0.0005101296234596163,-0.0005588078016926014,-0.0004586808689106989,-0.0005049217562497725,-0.0005644392741687649,-0.0005656898207384281,-0.0005081753029964439,-0.0006829444493501422,-0.0004766726862260986,-0.0005474255548098922,-0.000573102368801795,-0.0005792176870860087,-0.0005264352986121036,-0.0005055816348017724,-0.000433442990038567,-0.0005218408975898596,-0.0005264691168959492,-0.0005363784469693045,-0.000511550222270476,-0.0001364497917961928,-0.000580366889990062,-0.0005210278882674214,-0.0004413960654200924,-0.0005256151800794684,-0.0004985170812295351,-0.0008207695631662476,-0.0005225954478944275,-0.00035725818363916,-0.0004694541065639228
"sd_antarctic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.132870079405569e-5,-0.00015156176097210543,-6.840096347063836e-5,-4.83755669217368e-5,-0.0001909280505360528,-0.00010566560109943941,-0.00024514569753602585,-0.0002457770580080208,-0.00013399784788040902,-8.973234288161161e-5,-0.00012222936144893912,-9.108257255913999e-5,-0.00025275178610345377,-7.39299345167875e-5,-8.732254734033289e-5,-8.83327605586738e-5,-0.00012316626551610616,-2.214007318093223e-6,-5.6394429961232046e-5,-9.583944834835148e-5,-0.0001740563159713053,-0.0002143177710052668,-0.0001847305425804202,-0.0002725207492331083,-0.000113852171820143,-0.00016643375281772855,-0.00017692166469343383,-0.0002644404362263453,-0.00017456748146088238,-0.00020639910014766342,-9.709330773702265e-5,-0.00010049338760006499,-0.0001319712518759967,-0.00020878905522088103,-0.00015677629600484975,0.0004354145638048637,-0.00015965843945127324,-0.0001485724353010826,-0.00013971033155143716,-0.00019478944222066832,-0.0002000903558470657,-0.0005794279805164288,-0.00023489036120562292,3.1105532925072576e-5,-8.386853280992285e-5
"sd_gmsl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003843685732976227,0.00043525699809124623,0.0004900908932006639,0.00035111695410240055,0.0003745936188356979,0.0003546895379012676,0.00036306828110269947,0.00040426534628358314,0.0004810752661888499,0.00045138906434669443,0.00043050557356314693,0.0003189852491785688,0.0004614651882057417,0.000425087501963039,0.0004240808049026706,0.0003378311552195833,0.0005177735454059235,0.0003926158648854237,0.0003636162840545484,0.00044169143121827335,0.0001817690559968891,0.00036591236472998626,0.00019195493816599803,0.00036212318782812686,0.000433181765065979,0.00043727596404067015,0.0003073035627936655,0.0003872377740077793,0.0003613694173477515,0.00037753750844301236,0.0004314915277970732,0.00035949839381939624,0.00037275785758587534,0.00039864272490587594,0.00037792773322261247,0.0002647093833165224,0.0005160370947055592,0.0004215021355811094,0.0003540450486609818,0.00030096100850868164,0.00010119500198777012,0.00034437528705799235,0.00047045591654428317,0.00034323407111311994
"rho_temperature",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004456765021055878,-0.00042916478810216556,-0.0004730335071599828,-0.0005569780572335509,-0.000338311431400409,-0.000550963176949751,-0.00046552872184633823,-0.0004250648061134636,-0.0005051451946302681,-0.0004136015380764156,-0.00043692990921972085,-0.0005463664151951244,-0.00044652179996646483,-0.0004260130445926554,-0.00041127014105719396,-0.00047096096060061135,-0.0004622787693019904,-0.00040316071435164013,-0.00040045816366883214,-0.0003575204357521232,-0.00042935835826730896,-0.0006389329908281203,-0.0004171546033937678,-0.0004578883940139669,-0.0004579598499714518,-0.000463174032737721,-0.0004077282567584327,-0.0005192013233386753,-0.0004375956992020819,-0.0004397271649331049,-0.0005286466528469245,-0.0005312308079495747,-0.0005479589407901178,9.559091185715316e-6,-0.0004429087125502684,-0.0004071590685939853,-0.0003831384189643879,-0.00039681356610606376,-0.0004727608013969717,-0.0006493293184758267,-0.00046297346001994346,-0.00021516200467380138,-0.0005870597815092377
