"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.008329097991001675,0.008087535959111321,0.004733505645607448,0.005221860537481723,0.003530800572056131,0.002480587014537343,0.001639182834092918,0.003658143945718193,0.0011939936408126978,0.0011488764270509231,0.0011078280565476766,0.0014088176064900493,0.0012454850832736837,0.0013467929274067394,0.001455107558887345,0.0015390060683817908,0.0016572315094505173,0.0017938321037034685,0.0019292920059628712,0.0018180385259856495,0.001549216207966507,0.0013303409379963986,0.001140577928202445,0.0010193868001278517,0.0009506269866476493,0.0008615263036556668,0.0008108829180782843,0.0007678027148822059
"t_peak",0.00806860081200387,0.0055102327328618046,0.007019331277790609,0.0042769556852053255,0.004278927287296882,0.004667740220405455,0.004678089635205578,0.005563133000480391,0.005553478843778412,0.005538382518914801,0.005475542747941952,0.005543480307737696,0.005534109620615626,0.00536351009876999,0.005262175559092934,0.005264052375937055,0.005008050285809268,0.004930360346728539,0.0047997106308436946,0.004664089728790559,0.0046335162707263206,0.004529700289832476,0.0043311017884045955,0.004151277420930277,0.004051555743298309,0.00397979715414034,0.0039187987045138165,0.0039103356103265
"gamma_d",0.016922634654860436,0.01115235877512731,0.0031231686623145126,0.007950389407087295,0.0038823865267173093,0.00541678350064637,0.005401832850728892,0.00715654874229061,0.007542819858631232,0.00823720131884005,0.008956879732725376,0.009369227756954156,0.009759316182667774,0.01002930545197719,0.010227183394479363,0.010455027766144204,0.010527747407239108,0.010678825220907845,0.010767148812140468,0.01084487518040339,0.01085782193630851,0.010832350636558345,0.010876647631725378,0.010858114749869585,0.010867733160311293,0.010865881535066953,0.010840545475298419,0.010907451942475834
"sd_temp",0.00935318134860351,0.022458958278812485,0.006022995208798582,0.00635412057647573,0.003144828310105949,0.0027089107003526046,0.0012830504000688181,0.005104043902910544,0.0014683185718825957,0.00025746820350793577,0.000515894065238187,0.00028466099754689497,0.0002398492242821305,0.0002710267326446696,9.080158614526423e-5,7.975556185373609e-5,0.00027343172259163554,3.6240425842091426e-5,3.8086107006568436e-5,7.620776095159348e-5,9.24867190855453e-5,7.474144650309113e-5,3.60206320785296e-5,9.392644180589411e-5,1.973210370506571e-5,8.363611174657494e-5,1.306704874549951e-5,3.0390785367842935e-5
"sd_ocean_heat",0.008256867532221315,0.007985757297620836,0.004982284307605961,0.0037769530009607623,0.004189517295161327,0.004652422297022498,0.0010604204119876314,0.004461500515259619,0.001085003024884638,0.000980136799042166,0.0003128553861720771,0.0003174151395947678,0.00025142273639306513,0.0005276895348368651,0.00011511108641143309,0.00017514540547576609,0.000233524867940211,8.092073607980783e-5,0.00022695376236327446,6.591806702965983e-5,0.0003455356204635472,4.7882471268811e-5,2.65088059831008e-5,3.897495264821793e-5,1.9804971101556067e-5,2.8401424659629538e-5,1.9980543457945433e-5,1.8642292175424566e-5
"sd_glaciers",0.01053171037492929,0.00706131087752341,0.00404540016852331,0.006184549798404414,0.003917189249681335,0.0034423210820296035,0.0013280537704043857,0.002355642471404022,0.0013473068507883078,0.0006321727095347144,0.0005011233096777316,0.0002547974260200339,0.00019747759352666723,0.0003554323214726714,0.00017481884715302704,0.00018549002575959822,0.00013988721405729055,4.627970072680191e-5,6.894623714618851e-5,0.000245060746817454,7.76731735832268e-5,3.8485404464658856e-5,2.6804646400186682e-5,5.9205449121322225e-5,2.804628140031544e-5,2.4790721029706364e-5,2.732578874988721e-5,1.5273411396666683e-5
"sd_greenland",0.010245601828386117,0.00657652659611654,0.00907284088925572,0.006542446219463503,0.003004084335822679,0.0020259443444228553,0.0010120876137109944,0.004192542316750898,0.0006962132786741818,0.0010484206077433812,0.0004975538820836245,0.0002442600655908631,0.00022724791149786493,0.00025166790729553695,0.00023230793454976666,0.00014197182120818404,0.00016644235459054312,6.673012219838179e-5,6.744438919975543e-5,8.907561977412111e-5,0.00012020526340422803,5.407137051946319e-5,3.588479240480754e-5,0.00011629965409718209,2.5505194872357607e-5,2.1835128678956285e-5,2.7120577544673674e-5,2.7377495363963325e-5
"sd_antarctic",0.009451987288254577,0.004888096157174644,0.005682426614652815,0.006269251019305555,0.0021147207950105986,0.004100549110047856,0.0018201900793602915,0.0015746754386014737,0.0005040829349585122,0.0010250026891761859,0.00028041469581494683,0.0002940071574793275,0.0001489727572350424,0.00030267329087611285,0.00011022482051603995,0.00017526611635099667,0.00011968750115068571,8.149645997088276e-5,8.522549428815439e-5,0.00015735716835125132,8.62274344581897e-5,3.6486044679339156e-5,5.598724790380564e-5,5.3073165013555735e-5,2.0070145218245194e-5,6.19979378229587e-5,1.9056340045935944e-5,2.900183097823188e-5
"sd_gmsl",0.007879976632945897,0.006875164142670904,0.005215641015358115,0.008176511909479376,0.0017118297908265444,0.0025838482112614694,0.0010123590650023388,0.0018393816322446574,0.0005925605421352884,0.0004196215834047966,0.0004365907946625222,0.000430698665048161,0.00017559210395511196,0.00029231947669153984,8.664000387131238e-5,0.00012591300974824216,0.00015880831798977977,5.6122000445317607e-5,0.00013038150539372193,6.549700846967567e-5,8.091697206361258e-5,7.192407790030221e-5,9.468319488622496e-5,6.109793361536322e-5,1.8867741382873472e-5,5.248521125154332e-5,1.7501955003353766e-5,4.1193875366774716e-5
"rho_temperature",0.008975188218775028,0.007243157449669331,0.005430424694217584,0.010360304065654429,0.002534594334919142,0.010609636898642512,0.001765891077348742,0.0020497958226959943,0.0007159509909590009,0.00035583132993041445,0.0004256654651969983,0.0004437648943969718,0.0002451900703067314,0.0002629970385572207,0.00017546702736112338,8.991381939844118e-5,0.00014951563432022451,4.461783979079561e-5,4.452719780600814e-5,0.00010990902698667381,0.00026618509329675265,4.9399605100462506e-5,2.847605625992448e-5,2.3207698508012045e-5,3.6325234101381376e-5,2.295205345093423e-5,3.9336693640148944e-5,1.3937894968143752e-5
