"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.1132230432615774,0.08977636831071562,0.05906183867117721,0.050135073828857485,0.032211747132971834,0.026881960738391848,0.02031794211790953,0.020759290560979277,0.016156943333356818,0.014594727437002403,0.012887868757191442,0.013243226479055174,0.011373886984731596,0.011060116708613375,0.010567259497869436,0.01019950066343369,0.010143838498479284,0.009524149446874793,0.009491418486457646,0.009235708750849668,0.008762216335957463,0.008088821300145608,0.007633539122546186,0.0073629661305504,0.007261956078201923,0.007211115047758402,0.007053302754164163,0.007066642896577126
"t_peak",0.11302065238467723,0.08016371049531536,0.06682736690717413,0.05681682968718581,0.07396305201179099,0.09293544594347913,0.1073456545982319,0.12036616196827564,0.1231961053090405,0.12427594908193691,0.12282916119275904,0.12029966795236186,0.11563691054516563,0.11147848418567369,0.10801163636184191,0.10476397437761013,0.10093841296330927,0.09775101536719032,0.0949250307189771,0.09330790061972581,0.0917433141946685,0.09015283046370103,0.08786567146900671,0.08607874753655691,0.0850136397774729,0.08380093332108585,0.08265482554779059,0.08200637298161849
"gamma_d",0.12946977927788128,0.09653743661681141,0.05365809262530589,0.05403155155329451,0.05469075137266732,0.09298704179528622,0.1555645492789872,0.2297754384417125,0.29454296023391824,0.35222623760495064,0.40592617880505166,0.45007976436895575,0.4856413968871015,0.5165160034819429,0.5426882328697343,0.5639441046081095,0.5823025415112675,0.5978951460023954,0.6086891628784294,0.6138566524255974,0.6163672386618703,0.6173058084471484,0.6184899887665994,0.6181858520088275,0.6179165528503642,0.6174555020026208,0.6165437546087162,0.6160671861040694
"sd_temp",0.11864678409751644,0.09989647433349587,0.06029902250101653,0.04693365682819194,0.030596359747549956,0.02016125236142169,0.012110354817466275,0.013334266269483211,0.006359279674844896,0.003417004135801049,0.0033375775427708174,0.0023294749707615586,0.0016699030033468332,0.0014956039247976097,0.0009938157007468788,0.0008168061497023859,0.0010778166311572383,0.0005048244253323231,0.00048024814864669246,0.0005280079069276458,0.0005110785769809929,0.00046080694568504147,0.00031845820621222355,0.0003931628158176678,0.0002317539400219774,0.0003147347811166162,0.00018137939902543724,0.00021499248729947598
"sd_ocean_heat",0.11362496301749367,0.08862362527149592,0.0633621223426296,0.04315070369229922,0.027888862605008453,0.022751036953192073,0.01112767760181296,0.014463371891179617,0.006208781406700674,0.005020367344701908,0.0027422957858573237,0.002228083622751151,0.0016805733089907784,0.0022027985942882533,0.0011182352848784476,0.001078294460416743,0.0009487064356395736,0.0006259778102249364,0.0007255078338233551,0.0005126840423406126,0.0007416723719997261,0.00037626386779315775,0.0003106408536224865,0.00027733089730191864,0.0002283889414425755,0.0002493653131846561,0.00019383990634311187,0.00018204926138144732
"sd_glaciers",0.11334000873548873,0.08231837323843857,0.057706694803846395,0.04503323110940472,0.03105208808847821,0.021123144123672388,0.012094516449046277,0.010679616956511194,0.007369374222964799,0.004506247330564967,0.003322944514599187,0.002154892620136259,0.0016394693099518274,0.0017433885894937487,0.0011713461381711691,0.0010810199528426567,0.0008936476490269049,0.000559815761510513,0.0005440596815176783,0.0006907173022114011,0.0004521036894647541,0.00035941340136838584,0.0003192667020979929,0.0003101287853849727,0.0002642829465076901,0.00023915399267640194,0.00022097231732766813,0.00017255679730867823
"sd_greenland",0.11529474308338422,0.0811602743542586,0.06949517446776213,0.04754434514730757,0.028066777598479597,0.019584694801545947,0.011718961654672804,0.011739935957845877,0.005895342266367525,0.004784675414056999,0.002970066707628195,0.0021649327287259113,0.0016650500901939718,0.001553878420521257,0.001285799876557983,0.0009418307473775467,0.000885076256509286,0.0005851946030445944,0.0005431189710512285,0.0005246907169501967,0.0005397183695577486,0.0003821450547600789,0.00033364846460281155,0.0004006439101902549,0.0002632033778684322,0.00020872353835565602,0.00021240131284330636,0.00020004176867796143
"sd_antarctic",0.1160170469063887,0.07822879950184199,0.06092841305970097,0.0485534088662589,0.027175342109820207,0.021910385418402133,0.013137026830194012,0.009824380458236451,0.00535143177825126,0.004479213827379515,0.002548905239282282,0.002164473445209699,0.001569039174575108,0.0015437116174319048,0.0009783534754738753,0.0010717017009346879,0.000833851610762998,0.0006529714057691316,0.0005897108175231131,0.000577748966167033,0.0005270735000581115,0.0003755877459973247,0.00036012917722726573,0.00034329081595368954,0.00022867666460708733,0.0002725410075134733,0.0001769209200887098,0.00021145952967637933
"sd_gmsl",0.11443597765394957,0.0842022175776365,0.061858302373229826,0.05944973791375558,0.023955076574207985,0.020706357188284123,0.01040060867977904,0.009606316867040715,0.005147480391332982,0.0037000617008104515,0.0030731269388909687,0.002721061701334053,0.001559972173184519,0.0016291894733570674,0.0010058471298716566,0.0008684400492286015,0.0008489638044578916,0.0005866128454376071,0.0006587713830240801,0.000500000183801896,0.00048299502871922747,0.00042029364895216313,0.0003806785809711835,0.0003404681905251255,0.0002245759321608754,0.0002593970365708657,0.0001961049902737342,0.00022665683573351193
"rho_temperature",0.10439490480950869,0.08163532438868298,0.06382182881478327,0.055990402591336585,0.027985438530516518,0.030885860832296667,0.01344064763335623,0.009086790273289206,0.0059870658079148025,0.0038206696887111645,0.003183187836665224,0.002353071341298837,0.0016141104486483405,0.0014611418984864588,0.0012476963151192106,0.0007968846312891831,0.000908295171164453,0.0005532432002124317,0.00048190795158140363,0.0005876230457202482,0.0006547038529127859,0.00036246784018126223,0.0002956478344566592,0.0002877626513594269,0.00027629429269532984,0.0002308796408734287,0.0002399493594936089,0.00016550728680557534
