"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.004898756337989518,0.0037205157529566356,0.0036038694890520567,0.005143268130666913,0.006440177540271984,0.0069045157639908775,0.007201907699996089,0.007553074857585472,0.007740906877106249,0.00806314386193991,0.008238053006956687,0.008392943973149602,0.008489765030252195,0.008538067390590477,0.008561237344190323,0.008545520964968736,0.008539779246621413,0.00851107833257032,0.008470572000060699,0.008430089782434693,0.008401800925007854,0.008345379015936204,0.00828230345325587,0.00822760521693013,0.008157542713058259,0.008101575801553459,0.008012330198825648,0.007960664887349539
"t_peak",0.004812560609807233,0.00416934978540978,0.0035141760307968372,0.002789757665240276,0.002437785003639807,0.00218462631281496,0.002042022553093161,0.0023865319053814386,0.0021108233683108427,0.002353247964087824,0.0025800162630292976,0.0030318931755189595,0.003358895708245773,0.0036868794821805447,0.004012243512560573,0.0042765315287295195,0.004499019136165569,0.004605289089393819,0.0047062064118884505,0.004803007211357184,0.004849940944941221,0.004914888227883146,0.00493667470446795,0.004980668465395304,0.00502230976164511,0.004992839968859382,0.0049807045012202344,0.004992322132321912
"gamma_d",0.005235974202860872,0.003792910683100991,0.003082293971765504,0.0028389228442545324,0.0021322464841336836,0.0016549973936262406,0.0011385663202554126,0.0009353738527845934,0.0006893709495417765,0.0006843024988326984,0.0005909185449856886,0.0009583671141955741,0.0011842173201038987,0.0015884061642689325,0.0019611409069700022,0.0023275390233800835,0.0026250147584295997,0.002874379263079822,0.0031122449573936185,0.0033567108299178746,0.003587399706060999,0.0038282315159123533,0.0040854847717474154,0.004332917171838997,0.004555632153346653,0.004770846288538784,0.004961953629106199,0.00515622126269425
"sd_temp",0.004845076886814151,0.0036826640010776475,0.003018283577668095,0.0030858448615843598,0.0017427272118439475,0.0016052811567491426,0.0011001635231087227,0.0014012182673063792,0.000678693009908923,0.0006154311102573208,0.0005782394733176615,0.0005435545905427383,0.00041450829294490977,0.0004666541880106699,0.00025842554283163756,0.0003160383556228615,0.0005101352295897716,0.0002351454720712586,0.00023700294042740735,0.00028825753332276165,0.00030145489457878186,0.00024181928842343642,0.00018047901833282142,0.0002440821361013892,0.00015930684527424023,0.0002859757431808449,0.00014409355480291965,0.00019193494915332513
"sd_ocean_heat",0.004718858640596998,0.004267740738993571,0.003384690768833765,0.002600954773912524,0.0022385652856029554,0.0014229340323911308,0.001020926959086589,0.0011901451053678508,0.0006867194607014313,0.0011779308510471013,0.0006222755703166081,0.0004934988810857963,0.0006001558807499774,0.0005273960825934857,0.0002964529408930951,0.000360790155911166,0.0004865925864861254,0.00025818572008547136,0.0002446062392017623,0.00022678290651146425,0.0003513254713497962,0.00023003959381628648,0.0002023182941548051,0.00019803902211981242,0.0001762931295833592,0.00017458880809960035,0.00017721239343529896,0.00016051450565692844
"sd_glaciers",0.004675317869130901,0.0040165798804105346,0.0032340736322217832,0.002982515825159702,0.0021613853089936796,0.0017176734058751376,0.0010452487956853483,0.0014467083296653871,0.0007813182987516558,0.0006898764493229551,0.0006174768774842018,0.0005005608753915412,0.0004427639846172945,0.0004553615931594519,0.0003067757775234486,0.0003740853628195158,0.0003537036736063959,0.0002542193719933069,0.00021563024478503655,0.00034356479176357867,0.0002398348309140732,0.00020741700148376151,0.00020014890879642677,0.00021829858171755972,0.0001812936410924967,0.00018701360226477728,0.00016965979766121205,0.00015670201354282275
"sd_greenland",0.004692733124184718,0.004324474608433092,0.004122414340112905,0.0025917490749899305,0.00164367091770082,0.001460299234958795,0.0010373185678421288,0.0009167121203388037,0.0006935626475861452,0.0009994525240511446,0.0005722613956952441,0.000508659852716593,0.0004196117804479751,0.00044017654634102865,0.00037400026437697,0.00030807123382052494,0.00034217918714704766,0.000265936829849149,0.0002360147605012506,0.0002406500809900956,0.0003436649327394608,0.00023421540632775163,0.00021219600873386498,0.00026773987886942913,0.00018475320150218385,0.00015566953832496142,0.00016527157971703301,0.00019056941478111868
"sd_antarctic",0.0048907724830632646,0.0037487304212773702,0.0033331724557348606,0.003194824223146153,0.0015774036919188339,0.001393238375931073,0.0012461111815814073,0.0008984792310094952,0.0006974590263600748,0.000871929621945087,0.0004523913933550434,0.0005263714005265838,0.0004252405997382165,0.00043892819678759685,0.0003194568515050032,0.0003470016645696576,0.0003075252594067365,0.0002936422944421846,0.0002461479095897041,0.00026931070103170755,0.0002777743832347417,0.00021794326762831264,0.00020363051797594287,0.00020540377482359715,0.0001895343387435692,0.00021127943624730557,0.00013912083489932566,0.00017060839063136058
"sd_gmsl",0.004810192243263294,0.00372517833505838,0.003570293267958739,0.0030235910591826856,0.001502388702214773,0.0015769037872705306,0.0011136118568232272,0.0008091365244526384,0.000677428898016733,0.0008169492920721389,0.0007694961895398878,0.0005745982629943915,0.00046030698439057297,0.0005148023509810057,0.00030213435255131254,0.0003752595640934709,0.0003180439761578511,0.00023472073251258108,0.0002467365009052102,0.0002473348170799488,0.0002530633749058479,0.0002638171455438202,0.00022963111901977767,0.00022524878281292494,0.00015285358466074513,0.00020823703863322998,0.00015011635086898507,0.00018924820341986132
"rho_temperature",0.004522878773698186,0.003454295952163973,0.003041792765498175,0.002643462539181697,0.001640003987670349,0.0015624354689787092,0.001367298571924514,0.0008762282240549824,0.0007747253882922692,0.0006608845137040096,0.0005966587991471458,0.0005681817588143424,0.0006167042362425817,0.00041531129945870146,0.0003500886606240398,0.00034889507166481617,0.00039479336568211106,0.0002509069738857709,0.00022704998802915965,0.00032155934090550577,0.00034318988327123733,0.00018635500919421473,0.00020888686020711355,0.000186723635549965,0.00019681663909379342,0.00019482072300701294,0.00018184103959589508,0.000141845076963494
"rho_ocean_heat",0.004530581580829148,0.003989712461721285,0.0032845945580914407,0.0029286249366149604,0.0026037491656656056,0.0016615970313900762,0.0013815342889174267,0.0009965953620091287,0.0007123605989313179,0.0007568260735008021,0.0005551334164727292,0.0004662680439286509,0.0004130862073652964,0.0004978315663956942,0.0004247790884777525,0.00040185738671392687,0.0004376697624741614,0.000247642736563271,0.00023689170846498268,0.000249147852500236,0.0003138323777465198,0.00021784970078068163,0.00020707474309502295,0.00023697207947045228,0.00017263552901241073,0.00018135322154231217,0.00014953913756862939,0.00016317201909248581
"rho_glaciers",0.0050979646322883675,0.003727768262348969,0.0033994225961328224,0.0033741184336996137,0.0019522484944297972,0.001396952861528888,0.0013421802467877349,0.0011649704952231337,0.0007051673741230026,0.0009412283741544028,0.0005434798457530222,0.0006026592602344458,0.0005100227721397424,0.00047186152227733224,0.0003144699740689482,0.0002945721614088717,0.0003293518167541121,0.00028967146529131543,0.00024411598544656407,0.00023784986637214912,0.000302959805670805,0.00020468690783562786,0.00018454731668348718,0.0001681686943596824,0.00015724856422529327,0.00024594909119272836,0.00016588204257424538,0.00016218322552121435
"rho_greenland",0.004903988121739477,0.003743606360446942,0.00328414831296858,0.0025770564730554033,0.0021656748874036608,0.0013540317539547997,0.001108086196669503,0.0008649215665857633,0.0007441386923364059,0.0007448234064040785,0.0006116202237652686,0.0004938343809926447,0.0007338999237841258,0.0004455629260511156,0.00033331308387901643,0.000355001426967389,0.00030667148492544177,0.00023446896624697113,0.00023251956790609326,0.00028093300450946694,0.00026754050935121667,0.0002140154890479381,0.00020470962098135127,0.0002435786470546979,0.0001909633923433988,0.0002791916488499976,0.00017260875765364662,0.00016141238800881441
