"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",2.2967405295113465e-5,0.00403153666296665,0.002110156579700822,0.050958550252980434,0.1521447930649071,0.20560925057767385,0.22163490909029387,0.23809029154793596,0.25210069571550453,0.26840213201969515,0.2803126035283087,0.28654346795243457,0.2915089236802293,0.29394473979288993,0.2926424634011069,0.2906866174922753,0.28873190324932024,0.28540876921706293,0.28076997064094267,0.2759432323738491,0.27062291778377107,0.26554836812147614,0.2605150079196774,0.25479692655422537,0.2491349456468404,0.24380100251672435,0.23898444130477567,0.23397210732507742
"t_peak",-0.00577242631410857,0.007116835899140018,-0.0012048323294593735,0.004328409364581523,0.007205528053469336,0.012029822727300193,0.014070194557639387,0.015500916951860873,0.01400392509614152,0.019501406248074296,0.0249266286635302,0.03215285458069818,0.04302580007957306,0.05416443064400179,0.06352598462038965,0.07214135310174052,0.07922865664141428,0.08451711118077054,0.08803495512632378,0.09116922543694475,0.09319245803685237,0.09491175828881082,0.09585065399223289,0.09669493289468702,0.09693365272114177,0.09625961584297914,0.09615420642775946,0.0957011340483048
"gamma_d",-0.0024181276047646207,0.00997018006190454,-0.0024669625528238965,0.00383261151921901,-0.002141737395328558,0.0028236765772028153,0.0009952256839828606,0.0006062556670768279,0.00017917293411305932,0.000728545423242196,0.00017088245969643697,-0.001152627524355985,0.0019097928772477803,0.00451129904037108,0.009196565672056439,0.013695134359479775,0.01913302228000022,0.02403931278432688,0.028813838642227776,0.03407202653571937,0.03920016412278272,0.04504450799618116,0.051281990788842255,0.05771598784898478,0.06355415870684865,0.06948071741969472,0.07470923962088234,0.07979950537740452
"sd_temp",-0.005617719775024933,0.005951926325928352,-0.003101599251751659,0.0015346561428122934,0.0008209157902548296,0.0008897764700370911,0.0016223351006351327,0.000552647542181521,8.094763247113326e-5,0.001168916531564719,0.00022641196757449992,0.00038931677806505836,-0.000367769142400858,0.00029735952406065964,0.00020142534054977705,0.0004155151653319583,0.0001810216037420183,0.000293423420450529,2.197631421915544e-5,4.48583498387438e-6,-0.00031007131767943493,-0.00017851128815314348,-0.00015856497706141169,0.0001146950357514682,3.788435131217442e-5,2.7833259654016915e-5,-8.811429557154123e-5,0.0002763553907171839
"sd_ocean_heat",-0.001425056793420075,0.0030789908985765758,-0.00030875917791957813,0.0011618548690317438,-0.0027352727204669617,0.0025763674024330673,0.0008130838289187778,0.00083260680369988,0.0008396710766178421,0.0024296539722210514,0.00017826727603732285,-0.000363075864730853,0.0002593479880723369,-0.00011209867945021321,0.00039601931027080813,-0.0002630428472348942,0.00016032346229645747,0.000394228079299758,-0.0002720766004932555,5.584688531490614e-5,-3.687934673303412e-5,-0.00015711368122550503,-0.0002529853362136926,0.00014909872215826387,0.00013647908205391884,9.669960323772264e-5,0.0001352659548440501,0.00015771879310981962
"sd_glaciers",-0.0010300690660337045,0.007710844109627482,-0.002917587438689938,0.005090624495454875,0.0016491979567729927,0.0020394723045701396,0.000869102172152303,0.0014788709133995712,-9.662895879774301e-5,-0.0006315947824517475,0.0006251381330689328,-0.00040547467076128323,3.3117692751957864e-5,0.00042820556631300563,0.0005497389617253291,8.839826557094168e-6,-8.891446058866926e-5,-0.00026163152718825726,4.261446529289386e-5,-5.885674681048999e-5,-0.00012359946828080506,-0.00027900155574995665,7.58327922662102e-5,-8.556642823127581e-5,-3.263617983863334e-5,-0.00011192692416339877,7.4739349978209066e-6,0.0003064913333239977
"sd_greenland",-0.0046599975175237,0.006842733187777038,-0.0024450129607867443,0.001191665350170081,0.0014326867228726737,0.0003693381825482428,0.0008270127915003502,-0.0001967823548491402,0.00016888990603773862,0.0015603548769698595,0.0006757946933370894,-0.0002541404219473368,-0.00036885364908883285,-1.6553876425060657e-5,-0.00013107111379482832,0.00016634060820414269,-0.00013047643091762464,0.0002734876359256753,-7.799263095476417e-5,0.0001076862610209682,-0.0003665829918731989,3.08987154450378e-6,4.7652391323776345e-5,0.00020544144867720945,-5.6819421911378006e-5,-2.5100999937141875e-6,3.7353033870174534e-5,5.9674110098894924e-6
"sd_antarctic",0.0018124273168721135,0.003828162037617188,-0.00039163351201914487,0.0032066486597323914,-9.892656606010948e-5,0.004140734949912444,0.00037765523958467037,0.00019050940280460255,-8.262743776778954e-5,0.0009012882506608063,0.0009885745236132666,-0.0007343026421602768,0.00018214183669543522,0.0001805149439115529,0.00047028252710199056,-1.5052822698323499e-5,-0.00012522136151866514,-7.961768144058015e-5,-0.00017476641960350488,-8.315272875283676e-6,-0.00014301421496396187,-0.00010616416099834188,-0.00021998139475032358,0.00011884218206305357,-1.7828020953972735e-5,-3.0818389881671864e-5,-0.00011933529716651828,0.00012486730918882726
"sd_gmsl",-0.007078673206667355,0.00497902147028012,0.0015586457281927112,0.005975108964758884,-0.0007410462979391248,0.0015335209268342392,5.8626581129385496e-5,0.0005755302065926594,-0.0004527328615275484,0.0011283871152944366,0.0011365400441217168,-3.1412308958614846e-5,-0.0004035600171595034,-0.00040897981319501443,3.639831638931457e-5,-0.00020563579471194097,-0.0003832923259333395,0.00025331477631805415,-0.000247250890241118,2.6770716250781707e-5,-0.00028432307461673435,-0.00038952856961805085,0.00041918180966904077,0.00010718698172453826,1.3163987518560283e-5,5.075552891259035e-5,-0.00013539598031879284,6.152635388456662e-5
"rho_temperature",-0.004734464679292703,0.002575419994935048,0.0001094197166366265,0.003382215309895191,-0.001411587041455349,0.0019482278678744358,0.0002767147066303609,-0.000222161302496153,0.00040910983184524243,-0.00042240318877441246,0.0004979809182520563,-0.0009075745285757762,0.0004071401996519544,-3.9484760419412154e-5,-3.7491275995664715e-5,-0.0001333171482539261,0.00012079949405614806,0.00012707743448923844,-1.2603039871181429e-5,3.6426261220472045e-5,-0.00029123473638631875,-0.0003569562903453438,-0.00014395583796159153,6.57371661482748e-5,7.085950122702757e-5,-0.00023028970364374204,2.185381789850185e-5,7.873320299411733e-5
"rho_ocean_heat",-0.009739779488600924,0.006371802153147881,0.0019447014539096684,0.004368077959779145,-0.0017612511897267815,0.004055663143452232,-8.480598030902059e-5,0.001087716394862745,-0.00011323790770494741,0.0007688426578523991,0.0007362719142246243,-0.000284595687653653,-0.00044840139918275593,0.00029722886309447124,0.0002306595137851755,4.9701293204248794e-5,0.000112122058334728,0.00016761850742715777,-0.0002766947247641494,-6.688624943172753e-5,-0.00048677274695485404,-1.654716642908815e-5,-9.411275799570308e-5,1.6858519493492237e-6,0.00021336940220612234,-3.543721223635114e-5,0.00011938498036738786,0.00024140755514510546
"rho_glaciers",-0.007222014970732305,0.006077730342826595,-0.0039198726342933405,-0.001243590510835435,-0.002827952901303203,0.0024585785437668804,0.0010981336796667843,0.0006860050304068312,4.385562969952446e-5,0.001160064670155076,-0.0005929942579868144,-0.0006353126562044851,-0.0001605509503371654,0.0006009048033592938,-0.00011080450421371381,-0.00042651507692472666,0.00015526212150034487,8.464171854642561e-5,-0.00040115758208363874,0.0003503634281783447,-0.000458728842090667,-0.0002384064917420337,1.188435852029081e-5,0.00028853827289121784,0.0002522404741074581,-0.00010140625141447321,-1.9591438485950846e-5,0.0002473547724104157
"rho_greenland",-0.0009265442754126193,0.005005267490804796,-0.004059254759767197,0.0011417774364970192,8.75536557320388e-5,0.0012781484215279198,0.0001166461733309155,0.0003910526733620798,0.0012088640880251998,0.0014503338151363216,0.0011279362537095793,-0.0004921814539774438,-0.00018819442732577097,0.00011838507243594713,0.0006590606620983195,0.00038374973782962424,-0.00021550097242203106,7.588206685982771e-5,-0.00014676187365486045,3.862135307700197e-5,-0.00047598117472599224,-4.869756109274953e-5,0.00013487694970578908,9.695675740896927e-5,5.4441640840908994e-5,-8.511507404049708e-5,2.6624017062116437e-5,1.8862126628652422e-5
"rho_antarctic",-0.0022686442977191764,0.007924997779603218,-0.0037534377993665496,0.003918544424476027,-0.0007694295063623443,0.0022269832617049876,0.0010803211275114903,0.00027334640244152975,-0.00016310754247586616,0.00035937576127714874,0.0003916321742035287,-0.0005505954997759872,-0.0002072997518226546,0.00011479053809402332,0.00023649016424729692,-9.525757188034625e-7,3.0407373488420277e-5,-3.729569170377248e-5,-0.00013183364417731843,3.269566440881254e-5,-0.0001276522755443891,-0.0001343557636693008,-0.0002538181186068116,8.644385418479023e-5,0.00017540130174897777,-0.00015715633374420898,4.4180492841148406e-5,0.00015273163364977734
"rho_gmsl",-0.004039845552800601,0.005146285497544765,-0.006506770692751587,0.0026520206578101203,-0.0007288813402267745,0.0009591656057949874,0.00227699995571492,0.0011579231085767998,0.0005360848418419906,0.0011405389868507935,0.0004451206904171753,-0.0003167679323199705,-0.00022372846308097498,0.000313982062935582,0.00036558310292576996,5.5409206885720155e-5,9.678967704062048e-5,0.000288945910253606,-0.00018317619024658152,-5.784539414821949e-6,-0.0005814053102316238,-0.00024471500253949146,-0.00015014589118906254,0.0002086790233686305,0.00011099521512932209,-4.62790649437742e-6,0.00014663965788679008,0.00014400213866068844
