"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.00832767050815358,0.008083333897852426,0.004616837014004386,0.0052990522707121405,0.004312438256594444,0.00442809360424858,0.004249753577769637,0.004535426129261897,0.004534083263455212,0.004753206690519409,0.00491768647936122,0.005088068936018647,0.005196569451872014,0.005330616947096797,0.005337166159192732,0.005310377994475859,0.005309697335563932,0.005273196249287751,0.005227779084612332,0.005178779638419936,0.005128539926244419,0.00508498051105506,0.005018322006538042,0.004945034491904963,0.0048812617240415425,0.004810674910682903,0.004761138863399842,0.004717194095329457
"t_peak",0.008067191217990656,0.005523008586726406,0.007088721937088357,0.0031488832399637562,0.0023561808527661856,0.0012258917384511167,0.0008742616829494349,0.00127141507125391,0.0005631168871074375,0.000610000676483555,0.0007327507967355452,0.0010057343309236046,0.001145318903358705,0.001409287759625086,0.0016194062933097635,0.0018044962116371443,0.0019455994630496938,0.0020723121572985906,0.002151833809989004,0.0022322922391520973,0.0022738491516456415,0.0023345593334797563,0.0023720035428854923,0.002391062049202972,0.0024132238174283584,0.002419489360717334,0.00243491861345727,0.0024563430487070503
"gamma_d",0.01692280789543209,0.011122190289270289,0.0030055299087080913,0.00756552724453902,0.0022553387739954202,0.002774199773504968,0.0006813623353319865,0.0006108131549988773,0.00028668592953875484,0.00014612233914782665,0.00013473192898340517,0.00020085059766162058,0.00022445664778548294,0.00031521198497600736,0.000428001424550797,0.0005508257551730168,0.0006714637936586205,0.000802146210890469,0.0009364393358126439,0.0010822476559172135,0.0012222483986090436,0.001389177436356822,0.0015790906561181,0.0017688303129128164,0.0019630333986249047,0.002151587451547123,0.0023327778191476094,0.0025091813164534356
"sd_temp",0.009354110008324507,0.02241457153675065,0.005944083752871174,0.00538676605210839,0.002008203961402542,0.0019837916614071183,0.00047674807381866,0.00126159366288146,0.0005127974460402131,0.00012299155894030455,0.00014098750057975123,0.00012781265792674175,9.748084665692481e-5,7.704423392688257e-5,4.017659038345469e-5,4.172159872805443e-5,0.00010464846043374783,1.5509242234176023e-5,1.58249901027863e-5,2.7793135005045815e-5,3.9417181121023025e-5,2.6682202183005275e-5,2.1098430776518562e-5,2.3426897498797858e-5,1.1783357421771271e-5,2.7243670605467603e-5,6.985335618126628e-6,1.4021102704646926e-5
"sd_ocean_heat",0.00825670046863654,0.008005978343777764,0.004910758278722574,0.0032633121122516745,0.002756279060662116,0.001485594895170123,0.0005901063452476267,0.001023667471441163,0.00036265697491174844,0.0005459148878400653,0.00013898667107291933,0.0001314994980566705,0.00011901695878347239,0.00012534438490420475,4.495140521738702e-5,7.628221327546464e-5,9.428047148402101e-5,3.6510185646290645e-5,9.180505120353427e-5,3.168120222292537e-5,6.310123203968357e-5,2.006644251022157e-5,1.4863731994472103e-5,1.210381706025234e-5,1.05396027789399e-5,1.1549101148823025e-5,8.978015426268664e-6,8.293252932825624e-6
"sd_glaciers",0.010529758887206963,0.007096034696753324,0.003959860203478042,0.00570073547467593,0.0024736208350864737,0.0026143263416622997,0.00048463992235386807,0.0010847315947633506,0.0003062151815651394,0.0002020219329930282,0.0001266349805615978,0.00011931493637855545,6.645770393477237e-5,9.916077464889995e-5,6.85984375881751e-5,5.9982171041119415e-5,4.2397093010542655e-5,2.3549119632543063e-5,2.766322584218031e-5,4.6482209006833345e-5,2.2182103681817555e-5,1.9679216280100538e-5,1.4549811774940534e-5,1.534222583340242e-5,1.4489951687882654e-5,1.0653686180402535e-5,1.3546979775412212e-5,8.093676888719133e-6
"sd_greenland",0.010245317847552787,0.006609331605187651,0.009164227356374439,0.006212543541002476,0.0016756958674462284,0.001222856049157013,0.0005199163088795592,0.0007567804335902559,0.00021541859747742343,0.00036489271087026214,0.00014343994598350253,0.00011460675805538536,8.26769017048432e-5,8.481575277529271e-5,6.271184419127212e-5,5.5305489536545754e-5,6.423093300374718e-5,3.058383345760047e-5,2.9895950334351094e-5,2.625370478003731e-5,4.393303252812979e-5,2.7914474916165805e-5,1.8372053440231867e-5,2.6590375599876066e-5,1.3252891753332718e-5,9.259507743853652e-6,9.34310373262628e-6,1.2929231733226227e-5
"sd_antarctic",0.009447071494340709,0.0048897890397983385,0.005593214520994467,0.005196259434682455,0.001327502340751958,0.0013653206730524234,0.001056243259884336,0.00043967604434838874,0.0001957972895903925,0.00026135719771502045,0.00013382146713868963,0.00013072649728543265,5.555200278037176e-5,7.349782944652167e-5,4.661579652169449e-5,5.939657007375523e-5,4.477021099444332e-5,3.69570783773434e-5,2.9789290700349794e-5,7.304749889622119e-5,2.7250252074441254e-5,1.9956446506193256e-5,3.0237768091293536e-5,1.963937714697961e-5,8.779534701211778e-6,1.519397241809471e-5,1.021072815193158e-5,1.4957667589879068e-5
"sd_gmsl",0.007879712894538825,0.006853058086442281,0.005060077458229117,0.007224621447203596,0.001080577410831131,0.001787592326435511,0.0005461206497732028,0.0003986394601378628,0.00018743875831871842,0.00018715634739260894,0.00022375806374824118,0.00019285166711858424,6.977931041116636e-5,8.067231276843233e-5,3.570483799808485e-5,5.550062078215615e-5,3.690298075854797e-5,3.520734108417326e-5,5.417420031616695e-5,3.1821199255401444e-5,4.002446481162806e-5,2.9864222652460238e-5,3.147383495139645e-5,1.6845196997139696e-5,9.355114450883723e-6,1.2276676741492613e-5,9.241241395105988e-6,1.1909156503751459e-5
"rho_temperature",0.008971144009232735,0.007218899849405789,0.005310764273852054,0.010083045292430216,0.0020774428672001083,0.0026928078721587478,0.000813120523497714,0.0003935044612684096,0.0002309843522189764,0.00015324793713310212,0.00016730395537664912,0.00012134065373695862,0.00011997071688141078,7.955249147870253e-5,6.247855970135588e-5,3.576068767891989e-5,4.838069965313233e-5,2.148852192943568e-5,2.0226399756767045e-5,4.0412303068965566e-5,4.7956878056934785e-5,2.049360327905367e-5,1.2551175678339415e-5,1.065596175782627e-5,1.1497528467152765e-5,1.249292318170488e-5,1.9183705033525833e-5,7.001438216481295e-6
