"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.11320066401410635,0.09026978547336881,0.06612241516033524,0.10381495271627977,0.1853116960411082,0.22785791261273278,0.2453835839253356,0.2622950798201244,0.2765399153644942,0.29345947590099125,0.3048432519165597,0.31406846505558744,0.319421605546794,0.3228895968731548,0.3228416503995917,0.32217336670188257,0.3211262153844991,0.3182741895521435,0.3142420092238968,0.3095269946762458,0.304557269037354,0.2995839712113327,0.29426013472635426,0.28912072825961954,0.2836201034013096,0.27864644103112696,0.2734129792646946,0.2686725736195791
"t_peak",0.11300216359328921,0.07996496171352599,0.06383070323150491,0.04021012165085217,0.032608975910935895,0.023498631758206358,0.020883088899665073,0.021693739386173347,0.021793807060451746,0.025408917183377056,0.03242499938332608,0.04284157106210272,0.054668116300405176,0.0672032572549821,0.07891496492029776,0.08865189741836849,0.09650640469161127,0.10233419840004852,0.10644176524776165,0.10998821337342177,0.1120989839887139,0.11396917344484561,0.11488854511655999,0.11540882807697152,0.11591869673727609,0.11555110837621396,0.11492708277450504,0.11469316371996348
"gamma_d",0.12945835408828116,0.09624548935990272,0.05165555527776507,0.042145584341216236,0.019209974546029664,0.011101191728058348,0.005481177385588368,0.003716398304746102,0.0021818709265950605,0.001623131257998122,0.0016908096075376991,0.0029427200219152736,0.0054575057508844645,0.009683052192574919,0.015114068195177495,0.02126044379975959,0.02755122118223659,0.033560534170853216,0.03949694253082441,0.04567104452168431,0.05190820947488491,0.05854765611083752,0.06598442387302977,0.07330618164621655,0.0803839343764225,0.08723986182241786,0.09348850381052037,0.09944561793736
"sd_temp",0.1186387003906275,0.09966066876125396,0.05855309488115574,0.0390441642419836,0.018212690835016497,0.00983261926385537,0.004928937423409977,0.004664757102092561,0.0024973984979248143,0.0015279940085484859,0.0013495890772918925,0.001059897294930748,0.0007531379195524894,0.0006184256966786369,0.000454233886079378,0.00039789801725358955,0.00044829215973500423,0.00023372242289026128,0.00022048182232884013,0.00024160896550352742,0.00023398381487125112,0.00021065933007681061,0.0001655708874487497,0.0001801679239540567,0.00012303187033898438,0.00014235883855487165,9.56369616201167e-5,0.00011354421363905832
"sd_ocean_heat",0.11361085537212827,0.08843282120461396,0.061525735492190876,0.036107861369954544,0.01708617609785548,0.009565488453317051,0.004913560582096946,0.005056478412489076,0.002359557685982165,0.0021738864232484435,0.0012364973771236193,0.0010111320806971626,0.000766728109375957,0.0007792364256958836,0.0004837652795155476,0.0004839181678511172,0.00041022227669382515,0.00029555657113975397,0.00031304384970889997,0.00024368066349656712,0.0002560406490816214,0.0001887168743523589,0.00016053924321903968,0.00013546011639508444,0.00011908632470915077,0.00012336133658687605,0.00010297258035524822,9.638462810646448e-5
"sd_glaciers",0.11331913992719131,0.08221227562051034,0.055879971643413635,0.03800222436547875,0.018502271987661325,0.010576392272219936,0.004957262304240835,0.00439995349597302,0.002584666383917848,0.001793155172512823,0.0013064537908389585,0.0010150004283113667,0.0006957281859010748,0.0006832811833077763,0.0005100313202703827,0.00046059632959888596,0.00038187464315567047,0.0002675417867163076,0.0002476850827394379,0.0002406339579589884,0.0002001624129196099,0.0001787035097946849,0.0001694564944546071,0.00014698599804161005,0.00013883838095611194,0.00012007872546426624,0.00011555549729002645,9.283218287513498e-5
"sd_greenland",0.11527871588481124,0.08110054227920867,0.06759821701010424,0.04033183034122625,0.016418035099530524,0.0092294950717996,0.005143633191641083,0.0037439670361479683,0.002336917601623324,0.00183089207131311,0.0012407455994536097,0.0009920662079660476,0.0006918225879544118,0.0006755590254001274,0.0004955662994042551,0.0004101164927274159,0.0004011746353515048,0.0002696545160957197,0.00025237412776669694,0.00021663877216516298,0.00024046120413786118,0.0001863929327152538,0.0001694503632119022,0.00017755205603914737,0.00013881484893117128,0.0001100543697112791,0.00010573874930024849,0.00011074356694283203
"sd_antarctic",0.1159856362724047,0.07803561299833348,0.05927070618704856,0.040449290613907465,0.01618018736928371,0.00971163650460993,0.005847824449918346,0.003582056411484032,0.002208690303243026,0.0016359755140218498,0.0011812992657911554,0.0009791576154339007,0.0006854144289049209,0.0006012172189268332,0.00044580446955954696,0.00045294492350318673,0.0003655660092487241,0.000306368508363616,0.00024855857535370567,0.00026735831246301275,0.0002261802377047551,0.00019067295388510572,0.00019122163228356445,0.0001674698902687112,0.00011785770977506151,0.00012494449131580107,9.908948102764187e-5,0.00011118441904746986
"sd_gmsl",0.11442028688539231,0.08394401870843805,0.059961075715734016,0.050049243577045606,0.01425350798256929,0.010069767670542663,0.004466658222267307,0.0033756368013110965,0.002058897584053487,0.0015569738360722998,0.0014089268475332918,0.0012130184640044795,0.0006922343391979089,0.0006399556661185054,0.00044581125817490957,0.00040201104650146324,0.0003537751960917446,0.0002937736393675219,0.00029759938987239365,0.00023882246488325995,0.00023396312711846564,0.0001985683632395415,0.00017741983053033006,0.0001586983966403015,0.00011616965520814423,0.00012115169539463976,0.00010494179320190886,0.00011192702987816758
"rho_temperature",0.10437621703471132,0.08140581516006913,0.06211075393541431,0.048267192677068596,0.017209999151714537,0.011840783943091796,0.0058310007621916364,0.0031163082826904686,0.002328782350726039,0.001684638890775964,0.0013650324036067144,0.0009571875444745174,0.0007386207143459869,0.0006102802190164369,0.000545728243765559,0.00035730075716844774,0.00038380217730828793,0.0002681020745690162,0.0002222332148350334,0.00025310141517851146,0.00023168567178197033,0.00017345765162150105,0.0001486037402445321,0.0001430395254488781,0.0001340200247514675,0.0001251360488800135,0.00012613458433475758,9.200957360684871e-5
"rho_ocean_heat",0.10604191243669507,0.08002230393696516,0.05892091740498349,0.040549473519414216,0.020273439024590428,0.00987915404288053,0.005859576847601479,0.0034978191705695378,0.002083826098639526,0.001807999300044333,0.0013279333852604179,0.0008689266258473688,0.0006258876001242312,0.0006100074454615201,0.0005139265303709023,0.00040182764345913087,0.0004281993919538711,0.00027111248804048254,0.00023808556539145755,0.0002364153401519053,0.0002254703070449186,0.00020121458573098616,0.0001736834299236475,0.0001554591918006494,0.00013517926021321317,0.00011530104527642097,0.00010394493251103254,9.88935327083546e-5
"rho_glaciers",0.12146744997341814,0.10213317452125731,0.06736966285202849,0.042967501288484956,0.01690105478440544,0.008281080760864323,0.005551410664609001,0.003735138910174623,0.0021387692133940234,0.0017668060259015018,0.0012030256763428191,0.001167983626703889,0.000705524031231604,0.0006398189653374007,0.00048179605893912153,0.00041116153020094375,0.00031381479947712647,0.0003270499929163989,0.00022872411359309424,0.00021313652079313545,0.00023759800943330946,0.0001688038993790214,0.00016480018643270727,0.0001335312498391924,0.00011652392984141573,0.00012341421469337714,0.00012086453253026769,0.0001254407412679195
