"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.0048981285101749785,0.003704450995516509,0.0033585616008567102,0.0036714003077994908,0.004096546712352471,0.004618522945226463,0.004818875378429473,0.004855159978339741,0.004729628594781684,0.004820218156183258,0.004726965352769771,0.004714883769261432,0.0047228661807347605,0.004678361510855595,0.004639118546365626,0.004626287433605418,0.004620380722746454,0.004602652015234009,0.004602635486074619,0.004596631473892453,0.004578398790437631,0.004567706325307245,0.004564845076884231,0.004560394142771378,0.004548839926814919,0.004564052720335149,0.004551025312221754,0.004552184465496021
"t_peak",0.004813136055223786,0.00415486665594681,0.003527031047883626,0.0029593125534682187,0.0032362667052812663,0.004303595913358288,0.005592171406656395,0.006598958809231773,0.007032197309247927,0.007486064774472411,0.007782589130722652,0.007953036373226807,0.008049013177174796,0.00814851676395846,0.008185859694211546,0.008236482745276852,0.008274060565599914,0.008294469434649463,0.008303917573626259,0.00830688750136136,0.008328382475761209,0.008340818759956023,0.008307720532527638,0.008324793820833227,0.008323040290446013,0.008331605646415824,0.008316699753985432,0.008322152532926931
"gamma_d",0.005235666148836402,0.0037919213761330407,0.0031094678039889283,0.0028215108145560647,0.0021908730959129584,0.0019479299743475227,0.002093524111301175,0.002668990464007325,0.003175409874895293,0.0037367664052095034,0.004241876184727975,0.004710693409945266,0.005080788324308187,0.005421779445043859,0.00574970701608158,0.0059948498478515355,0.006209202769639463,0.006381866687828621,0.006499017269364827,0.0065993132486297235,0.0066963238538588574,0.006801304078861765,0.006905120137022476,0.0070294584536015935,0.007134701796663177,0.0072249779347074786,0.0073078275889410195,0.007411251852251255
"sd_temp",0.004845038533836195,0.0036950505153417476,0.003020515649462222,0.0030522391501237953,0.0018154128543882173,0.0016853203505943699,0.001191009345325865,0.0014084184605525163,0.0007690336155482404,0.0005824800270911235,0.0005217883409780738,0.000496873346927076,0.0003978125207060923,0.0004073293482913717,0.00027916947410329754,0.00029431265848112046,0.0004388092985557023,0.00021204930822753308,0.00022452756996297707,0.0002607936512797314,0.000268972681121205,0.00021877430916253452,0.00018031394171748205,0.0001995875155384245,0.0001528602327112701,0.0002409129865547167,0.00013007186126351807,0.0001745102053829027
"sd_ocean_heat",0.004718224955335353,0.004269108946987569,0.003401892212623242,0.0027006634803723477,0.0023165925256144787,0.0016764615323105923,0.001134268054662423,0.0012527692840010717,0.0007232230628923538,0.000982798110629605,0.000526921104831583,0.00045934161203275726,0.0004961868493203215,0.00046687974255002295,0.0002883437172229249,0.00035361837138555863,0.0004099444979928824,0.0002486735958239386,0.0002594879224566913,0.000222767187030528,0.0002753603612162719,0.000211257167390864,0.00018218579647832716,0.00017072271981093335,0.00015489848407111527,0.00016010540489225177,0.0001597179761183196,0.00014725994894166386
"sd_glaciers",0.004675767172102538,0.0040093450412016915,0.0032657316515717952,0.002967896332747789,0.002299484046086087,0.0017816536254741592,0.0011085129150163685,0.0013994519067812917,0.0006984438768491178,0.0006430193065652031,0.0005621118185965551,0.0004623296963784019,0.00038228318432420935,0.000394523092214828,0.00029685777616638467,0.0003348274598383633,0.0003065523205838192,0.00022826047154132347,0.00020554109907122963,0.00028253578273246293,0.00019867960613482573,0.00019483016132835104,0.0001748193904371757,0.00018066701080141092,0.00016560660356377117,0.00016851878387960455,0.0001499495728210994,0.00013312527844405682
"sd_greenland",0.004692965184577388,0.004305677754480301,0.00410760163715509,0.002683327759247818,0.0017934206339573669,0.0016225806825149922,0.0011541098936637064,0.0009898310559961583,0.0006701044910898192,0.0008494156582406325,0.00048688319526696066,0.00047136048892994675,0.0003888391696145495,0.0003728368144728579,0.0003309784820530974,0.0003104777511959781,0.0003118088157771404,0.0002489489303059231,0.00022076174755326214,0.00022152114629620415,0.00029877572353607446,0.00020633279527442925,0.00019100680043549305,0.00021530929453291247,0.00017151055839854335,0.0001324150276217582,0.00013971875922503095,0.00016895149119549167
"sd_antarctic",0.004891359999152882,0.0037490534724673816,0.0033262323866127233,0.0032307280683034094,0.0017532897196981313,0.0016409466614735655,0.0013191138414402534,0.0009726255201934487,0.0006990520977172535,0.0007607138962979778,0.0004243462633094922,0.0004716780267441962,0.00038569608274456726,0.0003848652189821661,0.0003072562287156971,0.00032690669765769975,0.00027423580337964585,0.0002616398148669023,0.00022993742559776375,0.00026739579004887373,0.0002399958544320432,0.0001988303923516473,0.00019791525129928607,0.0001786816097211618,0.00017143606138162682,0.00018346952003959826,0.00013226806811513617,0.00015985085473075222
"sd_gmsl",0.004810260457680852,0.0037282664947468555,0.0035997334646190086,0.003123726179681462,0.001714222817192469,0.0016916715160633145,0.0011563184983607426,0.000861014734222681,0.0006625059073295512,0.0007094761023377821,0.0006558307291309699,0.000532712991047119,0.0003993460892817727,0.00042259411762805447,0.0002971416213276437,0.00034705662150563585,0.00027935155415732127,0.0002260225628779444,0.00024131683977872995,0.00023636153631778997,0.0002404997225253987,0.0002393234570589595,0.00020026724526535993,0.00018926910925472904,0.00013968681491640953,0.00018024467162065628,0.00013527310197157728,0.00016406503278700043
"rho_temperature",0.004523292523934204,0.003463095324545725,0.003062000497796383,0.002740681117681716,0.0018265986800561568,0.0019218507529310828,0.0013910798864216671,0.0009313545058707503,0.0007166293203417707,0.0006371273732612121,0.0005048087286864228,0.0005044279139118559,0.0005101402967124757,0.00038139960542704035,0.00032344741268081913,0.0003064514461166063,0.00034069111226656373,0.00021847746893807133,0.00020896009627461388,0.000285116067428954,0.00028029913919263476,0.0001814697397520593,0.00018733520009983948,0.00017817013420558898,0.00016691253179283168,0.00016007156701041612,0.00016967670897625483,0.00012720428423076337
"rho_ocean_heat",0.004530211280545979,0.003987306619460218,0.0032931547022268973,0.0030061994499986293,0.0026407235086232353,0.0017140868831161025,0.0014200301754453259,0.0009963700262377404,0.0007026781066864613,0.0006807052080842733,0.0005492627284462862,0.0004301513578238112,0.00035999812782885296,0.00041790033320672493,0.0003727598991080017,0.0003625660123700512,0.0003785857203979491,0.00022357417888888763,0.00020595425967521127,0.00023098886388325752,0.00026693750123077056,0.00020732238140256493,0.00019631559123719835,0.00020477171462859553,0.0001620557894613099,0.00016149605530133584,0.00014039556054046268,0.0001501392198399735
