"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",3.38569517323217e-5,0.0036244769299055278,-0.0026255377265264074,0.014362567007573643,0.03924079235725077,0.06908625478147946,0.07164717085942843,0.07093428423898585,0.06537895866943993,0.061908478228717784,0.05767746879426223,0.05393913628091256,0.05191507950258158,0.05015953007147336,0.04831346199402422,0.046956657271175026,0.046089295197460425,0.04593000301118715,0.045178588785081075,0.04441330644484603,0.04321317960534787,0.042200723722759924,0.04125214875468758,0.04048775989167629,0.03945834381337152,0.038713844227605446,0.03784680682215924,0.03713782418508738
"t_peak",-0.005760254126761968,0.007156687292663739,-0.001142256277742017,0.007167530486417337,0.017560581499568698,0.06764732463244919,0.1270032148887072,0.1785633112922574,0.21638828055409412,0.2431090256333188,0.2596803216487325,0.26808073378316094,0.27513656093761923,0.2796052665974132,0.2810766830092108,0.2815933471599176,0.2819164507006997,0.28195865849768914,0.2822660998667883,0.2816204189198161,0.2789174913426095,0.27702668227104976,0.2742912389162795,0.2717649046559347,0.2686996474338281,0.26558610566507085,0.2626814322848027,0.26030132593895705
"gamma_d",-0.0024113673224885395,0.010009518423571215,-0.0025937363277678547,0.004759342375694156,-0.0018208225873597786,0.002831855492634938,0.006581553506409334,0.013818172977387615,0.023874725202254855,0.037216183008462356,0.05081717168449612,0.06471844949018005,0.08039351953980824,0.09326728573458345,0.10702956727931912,0.11837717546192306,0.12925224973184507,0.1377340166224739,0.1439251994672018,0.14886255429992593,0.1540985875858288,0.15890616970415872,0.16357629694094936,0.16859707571278498,0.17263758625103276,0.17656175805146276,0.17978449529501328,0.18307369668638424
"sd_temp",-0.0056119403973648755,0.005979504361761671,-0.003536610216380599,0.0018421524563826043,0.0010316355308860304,0.0007707304017983583,0.001507972873421865,0.000756214972092975,7.797302683602833e-5,0.001213772079824246,0.00016939889014228643,0.00034067920015938053,-0.0005134771694049994,0.00016704873294872804,0.00023745704549526747,0.00045979759864552596,8.499435609797093e-5,7.94857260305212e-5,4.82019504363406e-5,-0.0002514291250107006,-0.0001847667433506679,-1.3204897086360926e-5,-0.00030941524138332636,0.0001592087239421783,7.12950459785214e-5,0.0001375463949064626,-0.00013509503946786217,0.00017036260438825642
"sd_ocean_heat",-0.0014288836351884224,0.002976650868898368,-0.00047079111251563524,0.002977559254438047,-0.0018203501934055302,0.003553500982730328,0.001210682440052489,0.0006151353449497667,0.0002357436241379737,0.001580249505288621,0.00014106726586540257,-0.00040173420040820213,0.0001537959197319449,-0.0001461068898715333,0.00028681825322082944,-0.0004448082294110427,0.00011480405094895231,0.00046254895638858217,2.424423289537747e-6,-0.00011545318173278002,3.658828854608584e-5,-0.00013374587701652367,-0.0003339488811725362,0.0001206252470976518,5.834354975598906e-5,0.00015462119626931435,3.057588576392957e-6,0.00017959577007508834
"sd_glaciers",-0.0010197305566303223,0.007657711921962672,-0.002981674116836212,0.006199288919595602,0.00213897077856261,0.002493677670252999,0.0008805825997548999,0.0019254876825241434,5.320129295216736e-5,-0.0005075130280235354,0.0001553863684815668,-0.0005876137331841887,6.327224862982303e-5,0.0002893284146979557,0.00018187379094256447,0.0001581257544440624,-0.0002620405043860593,-0.00031414696062518986,2.11438852399284e-5,-0.00029204293599445746,-0.00019129799001629794,-0.00019830892504942076,-0.0001248219284713379,-2.221110737592087e-5,1.7900603978797563e-5,-3.84712062251702e-5,-7.899824349085147e-5,0.0002457442940662446
"sd_greenland",-0.004659855966169184,0.0067784988461674425,-0.002341659980484711,0.0022407328922944064,0.0024979834357851506,0.0007212607942257928,0.0015596773830486184,-0.00014346330964128362,-1.3233859229047296e-5,0.0008405910261512433,0.0005817437826862016,-8.486051898383148e-5,-0.0003247627963932593,-0.00026848879162581497,4.9763789986850605e-5,4.064774351524548e-5,-7.078662567486908e-5,7.071601600247391e-5,1.0941371560404752e-5,-0.00012932243784010653,-0.0003096081990368546,-1.9797219081042723e-5,-0.00028415613162822745,0.00023776940174204938,-0.00011793251393342945,-0.0001395968136618593,-4.000844809782498e-6,6.545558716097535e-5
"sd_antarctic",0.0018230512529447617,0.0038273541927403678,-0.0003310733776566822,0.004510638233997791,0.0012754199855473218,0.004359367623283117,0.0002850748565840757,-0.0006789108492760076,-0.0005101074541163575,0.0005667344761415965,0.0008828695173089878,-0.0007756617797102938,0.00023328583923631506,-7.598831360519259e-5,-2.3602383119217898e-5,0.00010228453889337973,-0.00018647034938416713,-1.2331315704223885e-5,-1.9609109101342942e-6,-0.0002586072739121006,-4.694352869296801e-5,-0.00017122155174664777,-0.0003106692259520528,0.0001489702837361678,9.173042752523024e-6,0.00010055468311393696,-0.00020862757111441102,-1.3432545449866234e-5
"sd_gmsl",-0.0070803340979956825,0.004960911294925295,0.0013155235433979305,0.007322313959816467,-0.00038889211416100113,0.001946780123741795,0.00016110302687548275,0.0007719448242610174,-0.0005635302839162143,0.0007194766360213976,0.0006969996986262887,-0.0002078586070983839,-0.0005123778836432434,-0.0007286764480356671,0.0001134134165173347,0.00023541280395449833,-0.0004534208381301256,0.00031596883510452126,-4.6126645861466304e-5,-0.0001507675346611462,-0.0002419517160940477,-0.0002409710240519241,8.270033710643283e-5,0.00011812502753686444,4.7895726792260315e-5,9.499245978402653e-5,-0.0002503167032345293,3.7721198804354184e-5
"rho_temperature",-0.004726794180559976,0.002456077256750165,0.0003209641715494089,0.0044440347193717014,3.8618400707922717e-5,0.003032827563637641,0.0004726716215431432,-0.00044613867464786085,0.0006901927121134888,-0.0007950542347200039,0.00041597707805890666,-0.0010257108760327283,0.0003916179438469001,-0.00020374489032083085,-0.00018632588217887746,4.9522369197763315e-5,-2.010684140309666e-5,-7.641428444069075e-5,8.260616906963006e-5,-0.00034285041999340064,-0.0002601627055047923,-0.00024967237516542763,-6.574771926267766e-5,-5.443168611388349e-6,-1.93970375001095e-5,-0.00019595680892815082,-0.0002573279496815709,0.00011751686295462452
"rho_ocean_heat",-0.009742903790993226,0.006331076300256029,0.0018391241575091309,0.005569910978787884,-0.0008163132042611807,0.00376571399807931,3.995752240845057e-6,0.0011687567634793697,-8.411649373343523e-5,0.0006395603091829022,0.0005881742374671242,-0.00045622696134537994,-0.0005605353471871396,0.00014835434168994984,4.3039843472186816e-5,0.0002301462177404218,-0.00012251148923930289,2.2466068270730382e-5,-0.00014928488214942224,-9.86486700752125e-5,-0.0005318874734326412,0.00010376622842882982,-0.0001862742987691956,-7.1460062749061605e-6,7.924081713021093e-5,9.486893081136119e-6,2.203225270643764e-5,0.00015485104562667031
"rho_glaciers",-0.007233253012541746,0.006036819002977864,-0.004210966037801694,0.0006217792528526718,-0.002159634145902771,0.0025841277101957896,0.0012043595340594435,0.0005964247739691824,0.0003726599771585032,0.0006551133245105241,-0.0007915967638856341,-0.0008251050661850391,-1.0350778782608677e-5,4.925911095531944e-5,-7.067207668736706e-5,-0.0001944457561347653,6.841191728884978e-5,6.611394374021181e-5,-0.00052493640852771,0.00023953119927574127,-0.0004070519556462367,-0.00018784749555311202,-0.00016534282533402578,0.0003723094189134388,0.00026893546365372776,9.857208450272024e-5,-7.467899649248166e-5,0.00012855238538382957
"rho_greenland",-0.0009265248012329309,0.0050592421414319445,-0.003864981613669857,0.0019085923762491104,0.0010200696005902689,0.0021319510322551877,0.0002965173412666678,-0.0002866451961682074,0.001483395599256872,0.0010099359543422161,0.0008910430377669936,-0.00043594359974680446,-0.00016359172957885264,-0.00022974140524298833,0.0003275383161595382,0.00032923497311027094,-0.00031331489790204566,3.848904500743476e-5,0.00011636493402394354,-0.00020609236989103862,-0.00035133242095270996,-9.859923503062197e-5,-0.00010508054260791814,7.757756534221582e-5,9.179773815603216e-5,-5.173949033552873e-5,-7.916713368863729e-5,1.238883656196995e-5
"rho_antarctic",-0.0022669818522070475,0.007788194345799773,-0.003663314041268652,0.00468874622533382,0.0006892701944943401,0.0021548164783327163,0.0013610496301984295,0.000403528671282681,0.0004996685953730305,0.0005487042296063578,7.309493796903023e-5,-0.000873081283596306,-0.0004172830937170084,6.056848487446814e-5,0.0002540697536252357,0.00022777658632390293,0.00021022125589699253,4.959752570679743e-5,-0.00012290230214441323,-0.00018160683987335024,-0.00016905798330910094,-0.0001227507752444314,-0.00015966654234457673,0.0002495596215270657,8.716242177051712e-5,-0.00013902499255715882,-9.468002519369981e-5,0.00018477514343289583
"rho_gmsl",-0.00404452816728115,0.005109400338227245,-0.006637591226556751,0.003289340042620036,7.533100029912496e-5,0.0012933724433652326,0.0022439833696027496,0.0009368615882383097,0.0010841364325382607,0.0008889945338181179,-0.0003417073866280895,-0.0004696488827714804,-0.0005357373551000027,-0.00011291798678267794,0.00013681413784564434,0.0001718341630394787,-8.81604777155504e-6,7.550221404504418e-5,-0.00015918685692508812,-0.0002615883833636259,-0.00037834445163505446,-0.0002094144694998733,-0.00029217626223639883,0.00017217739551488064,0.00011044458587674087,4.002059604261535e-5,-7.833990321006226e-6,0.00011541883470338868
"CO2_0",-0.003313406511867748,-7.433702565730317e-6,-0.003329897473750535,0.0029915098839090664,0.0022238938585214833,0.0022051976856225577,0.0020503739107395487,0.0007352062699509061,0.00013827465162879476,0.000627243341982386,9.636289650882515e-5,-0.0004270040527035733,-2.4074554791817413e-5,-0.0001864215565905345,-0.0001755265380389113,0.00034230171945022855,8.199661834142542e-5,0.00022098169186434338,0.00011882828351930845,-0.00041462030705890975,-0.00027015010407044636,-0.00022417344736442758,-0.00043435079751659493,3.7741898793489717e-6,7.143695425011852e-5,7.228455085758446e-5,-0.00016057710428737476,-7.711259407343663e-5
"N2O_0",0.0007596748545886648,0.006962894887350212,-0.0029773331686396205,0.002546144632824965,0.0020168974525460607,0.003852446147334288,0.0011291740163155712,-0.000206230345391088,0.0010242086681136258,0.0003603531975375146,0.0007746946312743669,-0.001160765042382007,-0.0005288923163196368,0.0002689717489350339,0.0003531818044048178,-0.0002238470761305398,-3.0387381710308055e-5,9.535801382575851e-5,-7.20358184456508e-5,-0.0004014980600271277,-7.520298851682749e-5,-0.0003884073636900042,-0.0004529210739569182,7.189747761060885e-5,0.00015722379894426208,3.5051667955651246e-5,0.0001412842094850356,-3.73287302511244e-5
