"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.008328176597245426,0.008085790774982168,0.004663518748841993,0.005066227292018224,0.0037306252792972954,0.0029133178215556095,0.0023301934954757094,0.002534942834976339,0.0023227800113262463,0.0023895505246572983,0.0024427120879684443,0.002504562508434495,0.002548993810629776,0.0025306936313732142,0.0025033341907127146,0.0024769466178804988,0.002426873525275837,0.0024192955867039273,0.0024158260791850026,0.002417114113396627,0.00241564262697088,0.002413800794548189,0.002427681297524247,0.0024381311440259523,0.00244200407689907,0.0024541104456376546,0.0024717859787853815,0.002485603088397523
"t_peak",0.008067545561999612,0.005516386604202121,0.007069745910121037,0.003574618827072538,0.003401321699776447,0.0032769334296874108,0.004050588649427912,0.005199993221505765,0.005700105957362282,0.006067242738697888,0.0063957811388337055,0.006520335230646794,0.006679133355215298,0.006737062945703553,0.006748882102099913,0.006723298114327942,0.006765416363850584,0.0067948957008594855,0.0067879398441209726,0.006755339467294785,0.006740854428996417,0.0067255536885978025,0.0066884320252861024,0.006661840007795703,0.006639882623153243,0.006636168045118675,0.006605356204996698,0.006618308436557537
"gamma_d",0.016921039284643107,0.011139112783296864,0.0030814968733950884,0.00792315328280261,0.002767913334390909,0.003117101837807759,0.001067658180045472,0.00143483205248637,0.0018213552127093412,0.0022921092887053245,0.0026929416821731963,0.0030191340280180056,0.0033294238041943554,0.0036042809216012333,0.003864043780691767,0.0040702050469218045,0.004263944667053531,0.004393907681039494,0.004475854979615171,0.004573808768164068,0.00464842540105458,0.004727865091570406,0.004797759332734291,0.00488864410205386,0.004972547324333536,0.005056473425986405,0.0051394106088279625,0.005211689829387059
"sd_temp",0.00935374843756261,0.022439161257657374,0.005979128729095134,0.006131625015074447,0.0026440698010485567,0.002127629295954103,0.0005672354351318776,0.001262979585595693,0.0005309415669079251,0.00011237246516999036,0.00012176024033265634,0.00011242346160042019,8.939992019151431e-5,6.78368695306424e-5,3.558051400040094e-5,3.434124983587873e-5,0.00011082651695855547,1.392882741231841e-5,1.4590918752794916e-5,2.740484769442644e-5,3.7663949544664605e-5,2.291240644256469e-5,1.8591889453382764e-5,1.8453988060231354e-5,1.0327011308692187e-5,3.104350991695892e-5,6.9703246280271076e-6,1.4076909138581626e-5
"sd_ocean_heat",0.008257017525232746,0.008000073635036206,0.004982856090335835,0.0035403374514378656,0.003277213872070889,0.0022590972053131144,0.00070436856987823,0.001066827959805569,0.0003923786552763907,0.00044726374148571115,0.00013600676226086818,0.00013055169545593567,0.00010609875640491995,0.00011175300628341522,4.174639288746684e-5,7.157727880053844e-5,0.00010142623159124357,3.530384635392003e-5,8.182032105506147e-5,3.0264777058731925e-5,4.8817313319756286e-5,1.917699524721396e-5,1.2867479027332157e-5,9.993812443965653e-6,9.2986270938189e-6,1.0495842687873736e-5,8.816997104144506e-6,8.289079653066745e-6
"sd_glaciers",0.010530360202786918,0.007075468809084758,0.004010559245653377,0.006164232807236879,0.003225826269556987,0.0027420883235066904,0.0005895631397527266,0.001021463599126204,0.0003172993332388645,0.00020203760501586338,0.00011661758341107346,0.0001102766990331436,5.489047009859334e-5,8.799144315185396e-5,6.0947260480754693e-5,5.7657871071593735e-5,4.1810755960758206e-5,2.286560988861307e-5,2.428247479930264e-5,3.665933546057193e-5,2.0794742390172382e-5,1.5706259695308777e-5,1.234766525726515e-5,1.1753473364981049e-5,1.2746098869205582e-5,1.0343248358794555e-5,1.1559408289761984e-5,7.449082208210005e-6
"sd_greenland",0.01024546031920128,0.0065916710691505676,0.009142604544088549,0.006458513237682174,0.0020799527240794287,0.0014442588662004544,0.0006164546264452649,0.0008193873523292397,0.00021293307025703858,0.00030339753868610956,0.00013223756065748957,0.00011430197036904037,7.195798656821084e-5,7.320731003006699e-5,5.169011448601368e-5,5.1709235768757716e-5,6.142541285363957e-5,3.3766770369817134e-5,2.584991624383983e-5,2.9425094690916133e-5,4.8855972564582755e-5,2.0252244083916726e-5,1.6672803633448933e-5,1.8866791218682927e-5,1.1725183812323061e-5,9.126755581945175e-6,9.56444993353036e-6,1.3222166387752499e-5
"sd_antarctic",0.009450310068075762,0.004889737016124426,0.005634600647907872,0.0060879255008863585,0.0016916729185600737,0.0020774677957109476,0.0012264176614373622,0.0005049685224777658,0.0002125363517256687,0.00022160709609133505,0.000121272470730701,0.00011934276275623156,5.121555555517195e-5,6.131980857014664e-5,4.835243547980851e-5,5.62179816168119e-5,4.368293641028559e-5,3.534249115731122e-5,2.743282614956169e-5,6.538853859615765e-5,2.5594029721832233e-5,1.5800308386450536e-5,2.7455978891250184e-5,1.902430210480116e-5,7.95988378349137e-6,1.354480547498071e-5,9.28700772235117e-6,1.3880173188837916e-5
"sd_gmsl",0.007879984625833763,0.006858787470678754,0.005178261304271014,0.007823697133714036,0.0013049392942981587,0.001971598130248219,0.0005853802822730353,0.0004293344248837642,0.00020117924087992232,0.0001577773502777545,0.00018709658800835144,0.0001861244846137979,6.477766731852866e-5,7.019244455723752e-5,3.720723765559376e-5,5.077220987339873e-5,3.182860202004973e-5,2.791486862833217e-5,4.8194454518423413e-5,2.933578339053234e-5,3.2983574313350246e-5,2.9371725336773954e-5,2.746482891023414e-5,1.4150784860223347e-5,8.997404254456303e-6,1.0591038062403736e-5,8.252573576164485e-6,9.542829786391972e-6
"rho_temperature",0.008974582715036884,0.0072293416957090965,0.005377967149009065,0.01036137561377249,0.0022574096462731497,0.004766755978136483,0.0008891028014318348,0.0004356199849308061,0.00025489173448154794,0.00014680662593007215,0.00016924964121623932,0.00011290378659798865,0.0001043879610029735,7.440033751010635e-5,5.5919787546130216e-5,3.4794694082596627e-5,4.881257813346138e-5,2.018503606409266e-5,1.9019459437059068e-5,3.807905348030789e-5,3.7942101592057964e-5,1.9063878086281892e-5,1.2446181577317378e-5,9.214078237128692e-6,9.911487713717159e-6,1.084590212401353e-5,1.8406305226956445e-5,6.020592859711925e-6
"rho_ocean_heat",0.006953009311308048,0.005402514634160801,0.004794047685247706,0.006289070858690094,0.004812058463344089,0.0020197347534141956,0.0008957258775185439,0.0005393435345308655,0.0002012274959844028,0.00018607100871801744,0.0001745915921174308,7.254412329048233e-5,4.400103902255418e-5,6.185067867898967e-5,5.80862459400919e-5,5.377820594369134e-5,7.808784853544464e-5,2.3864164354834613e-5,2.1252664769545417e-5,1.9950797168457076e-5,3.5212106470928205e-5,2.3308876608780876e-5,1.5089095824773828e-5,1.558823040715202e-5,1.554924201417528e-5,9.20061089458451e-6,9.254875906098352e-6,8.473206924466662e-6
"rho_glaciers",0.009262060427534132,0.0238306772506804,0.005928138367169012,0.00885284390321647,0.001986130463401913,0.000908920050986111,0.0008101626499065608,0.0006544991211809568,0.00018530180236893217,0.0002641117812406539,0.00013775911684288586,0.00021594554045952497,6.173321530467204e-5,6.999972406138651e-5,3.972738732686595e-5,4.8316719192870964e-5,3.474759481254791e-5,3.392138065659672e-5,1.8009760488048487e-5,1.7414619904618268e-5,2.817497950074664e-5,1.3660559450809903e-5,1.3240203509260007e-5,9.504281696962595e-6,7.795758855041743e-6,2.657617160126239e-5,1.5394504074256154e-5,2.5136161300160797e-5
"rho_greenland",0.008127350382761574,0.010118975428888228,0.004648060252548353,0.013418323662724276,0.0021453731122948916,0.00279347365650465,0.0011110290447846854,0.00031277959453493876,0.00019221823825959445,0.00015422592752435896,0.00011405966054946163,0.00025426925930664365,0.00015720781018858403,8.318365341371087e-5,4.2091104672885005e-5,4.13682037139422e-5,4.1584804157335075e-5,1.886483192182546e-5,2.1084169771811708e-5,3.218137139602488e-5,2.511960693844281e-5,1.7830186731348046e-5,2.2226435108692678e-5,2.0181298042162895e-5,1.0522934163623562e-5,3.011782760634431e-5,9.553761676918201e-6,1.7990980381333914e-5
"rho_antarctic",0.009853493231863974,0.005474624753220483,0.005754405861833878,0.010828615888569381,0.0029590328017593086,0.0014935549811851386,0.0012129464786671902,0.0007363580876413335,0.0002603701138617918,0.00019423978718201464,7.386011526191599e-5,0.000331061763253817,9.257654633550124e-5,6.521641489479295e-5,5.6125599757290546e-5,4.2619989480373145e-5,5.991415458985832e-5,2.341871779489799e-5,2.3469043548064004e-5,2.7041265308664277e-5,3.2011034465218096e-5,1.4536117277030002e-5,1.4944862277676258e-5,1.5130210378603121e-5,1.6380140841865225e-5,1.1179266289738469e-5,1.9303679401028666e-5,1.0257950532929126e-5
"rho_gmsl",0.005585474676362109,0.00459967477061064,0.003371939490145397,0.003139216463944061,0.0016252775587448879,0.0013479773555557977,0.0004838716495310595,0.00041007040936061123,0.00024613960633348633,0.0001246574148380612,0.00011938377051295985,0.00012547654863053428,4.719923860546138e-5,5.667719715155191e-5,3.266009113059365e-5,3.3694418586211394e-5,4.671217827163114e-5,1.8925517630141132e-5,3.0189627296237786e-5,2.2165621942770995e-5,2.1926580115674715e-5,1.3992606967472393e-5,1.8976463779007202e-5,8.495797192830126e-6,1.275924158897769e-5,9.926626219808804e-6,6.263860120033528e-6,7.240453156076869e-6
"CO2_0",0.010711337530292837,0.007414080204974409,0.0041121087870175585,0.003648131388087962,0.005809940828594719,0.0017575469972519074,0.0012480304792559216,0.0004153826716584262,0.0002162314422091878,0.00022961437078746367,0.00011997420944792585,0.00032885025707319335,7.761907365850085e-5,5.3542201473840585e-5,3.3544071853112594e-5,9.120829308400276e-5,7.895774686043763e-5,2.402352205427137e-5,1.872260052991244e-5,2.3929242942206592e-5,4.1257463854985124e-5,1.5544772707214344e-5,2.7968425558787374e-5,2.1238324119489923e-5,1.1128334514967236e-5,2.349805106826667e-5,2.066849888085922e-5,1.8226474621669682e-5
"N2O_0",0.010720067315304423,0.007996501862387592,0.007953825954880624,0.005771552649353496,0.0015510121668095844,0.0009743817580533394,0.0005250421167064731,0.0004879293606650723,0.0003150090498645548,0.00011674900001750443,0.00011574208428612635,0.00018265988038939927,9.84675060187147e-5,7.219923867741444e-5,4.73967462128785e-5,3.471015926908422e-5,6.822793454222247e-5,2.966531515442452e-5,1.9856962177937684e-5,3.074003935602426e-5,2.173017630695057e-5,1.9126978500074183e-5,3.2871518485864896e-5,8.984090682572285e-6,1.0456270981372757e-5,1.1415188460188339e-5,9.126800556851227e-6,1.7361261857984147e-5
"temperature_0",0.009552766984665428,0.00814981288248784,0.005937806349551498,0.0037638460798595083,0.0022637348819355696,0.0011742879050417813,0.0006572751384235348,0.00039157107274425204,0.00022762396703953145,0.00015943358935515222,0.00018273860625227196,0.0002115267368788652,5.636613561269444e-5,4.613619221646931e-5,5.1369021010621623e-5,4.5794367465710843e-5,6.418721748425395e-5,3.51117156615386e-5,3.4045072970085666e-5,2.68927056321904e-5,8.364610063638485e-5,2.236998071309625e-5,1.257723417831537e-5,1.649277321344969e-5,8.8882326986494e-6,1.2960350371414871e-5,1.991659784185346e-5,1.3269676580729679e-5
