"parameter","2030","2040","2050","2060","2070","2080","2090","2100","2110","2120","2130","2140","2150","2160","2170","2180","2190","2200","2210","2220","2230","2240","2250","2260","2270","2280","2290","2300"
"gamma_g",0.11321247794803095,0.08996567400585145,0.06052045401677035,0.06254370738439716,0.07754701822580674,0.09816415229414223,0.09928967153253064,0.09952087663161507,0.09784156810616303,0.09784451699001726,0.0962973329152605,0.09590217114704878,0.09422752982614627,0.09282863493532842,0.09094924699932473,0.08958087885633305,0.08837056155129544,0.08743945133843715,0.0870683542211747,0.08623999019687044,0.08516241732466645,0.08390067079003014,0.08301087714994416,0.08217265432543244,0.08122912108501502,0.08068601529982151,0.0800390215243827,0.07958345545330633
"t_peak",0.11301392394468128,0.08009700746691495,0.06515736563905815,0.04551515268018304,0.054212803623392404,0.09706130078055801,0.16134156889393014,0.2254635270562809,0.2720507827186332,0.3064433408822162,0.3315153268878286,0.346226331059274,0.35687250799515474,0.3618995234782074,0.3652690778262108,0.36616320862313695,0.3672827380805434,0.36747970991972717,0.36762822192578537,0.36692670891606033,0.36485934366840805,0.3626171946228469,0.3595391184173917,0.3565695384174594,0.35386479139994936,0.35099941873032897,0.34769401345461326,0.34561848220225533
"gamma_d",0.12946189941885244,0.0964141988873187,0.052715535193615326,0.0465527522772938,0.02507386056829886,0.01743320669353638,0.020212378830045244,0.03384528005558392,0.049432307502071844,0.06727545440374118,0.08604435322710514,0.10412948256882923,0.1212891733061889,0.13761503274813744,0.1526548852518713,0.16619725832124177,0.178225947217598,0.1872570425209853,0.19336975994816308,0.19859849084614667,0.20351765180115525,0.207944729662049,0.2129141223858195,0.21747275864206278,0.22179454041551563,0.22590195053991535,0.22963004683965096,0.23304305139685058
"sd_temp",0.11864322852914176,0.09978844203165381,0.05948708599148897,0.04362924421075066,0.023809551699317227,0.012463474400082896,0.005838816616230658,0.004906399007608287,0.0024976803734544804,0.0014192531087142489,0.0011920566124477324,0.0009457734220704887,0.0006749233313117786,0.0005520602557493492,0.00040482680834416597,0.0003484182681391342,0.0004249466589067544,0.0002070430640320467,0.0001954124347189131,0.0002162695351818033,0.0002079892248486927,0.00018500185134565908,0.00014335236258759888,0.00015389636650389943,0.00010534473425448333,0.00012689392668884336,8.265205171151993e-5,9.781181609992739e-5
"sd_ocean_heat",0.11361968553006221,0.08855747210200426,0.06267978626283932,0.03996930347232112,0.02162756727753511,0.01287742836143257,0.0058813181970178855,0.005410658165863105,0.0024362560238283607,0.0019820674979096143,0.0011071835672014565,0.0009124818935871226,0.0006774666765175171,0.0006925328653718308,0.00043402676005467134,0.0004348442019701589,0.00038633926711560966,0.0002651736889198016,0.0002798511918526652,0.00022094376049029043,0.0002186342153809146,0.00016471149378201352,0.00013686254078177038,0.00011549502126678294,0.00010113556922295568,0.00010679369510049949,8.804426889160934e-5,8.282859378284295e-5
"sd_glaciers",0.11333132932664365,0.0822758191146567,0.05693367671609869,0.04217792886126045,0.02399529045030997,0.012985804557722315,0.0059317263996358,0.004556491041796055,0.0026178447283147846,0.0017004447164280666,0.0012024703614698124,0.0009005258109461366,0.000614708110091171,0.0006198154077441978,0.00045707902867735665,0.0004170503674273721,0.00035037385282765877,0.00023964785366845112,0.0002178173720017589,0.00020908319466632932,0.00017473516320614692,0.0001523523744632792,0.00014553478822237973,0.00012341110113196592,0.00012024633481527533,0.00010520579273186704,9.730801242132657e-5,7.85788427101481e-5
"sd_greenland",0.1152901017950477,0.08113398331435455,0.06868688190200456,0.044452581098768436,0.021055121491513604,0.011934741449420245,0.006117187105222846,0.0040147235841570365,0.0023101862074132997,0.0017283104677769782,0.001108876020723318,0.0009183653382526728,0.0006127199488426751,0.0005968064034388194,0.00044039086824686593,0.00037034063078239787,0.00036614489452973744,0.0002525247789759242,0.00021853483940297884,0.00020022383441318606,0.0002195171974888754,0.00015760725234607956,0.00014650814984989072,0.00014453488663443315,0.00011845385860379527,9.663542255871896e-5,9.061796295397706e-5,9.456788368799068e-5
"sd_antarctic",0.11600368486508573,0.07815237348879797,0.060199065253118224,0.04539972865907494,0.020861121049625224,0.012914505841753136,0.006913531854200142,0.003935953105810054,0.0022565272051171758,0.001546190607759456,0.001048403261294234,0.0008597993800464798,0.0006080070922885453,0.0005292694811587896,0.00040432698440740254,0.0004158639750202789,0.0003398339356619854,0.0002761489609222807,0.00022573594516733198,0.00023576729423922644,0.000203204119894306,0.00016229429188511759,0.00016634934462720667,0.00014855205600434977,0.00010114192572295874,0.00010765269152429409,8.430925749762366e-5,9.461860154601113e-5
"sd_gmsl",0.1144300087221283,0.08407105188633011,0.061126956979790995,0.055394844477365014,0.018289985823831036,0.012807324502832888,0.0052638712306994125,0.0036364951537992793,0.0020625791222978157,0.001437640162008646,0.0012490577433593344,0.0010909143150017219,0.0006104236668600354,0.0005611595658286943,0.00041403267024361977,0.0003605947155657823,0.0003139358764187576,0.000258136878313063,0.0002607285362093434,0.00021316463783836379,0.00020172206658187656,0.0001770914207483864,0.0001494228776473999,0.00013533978253900733,0.00010192278648643767,0.00010276927729995446,8.9441443329336e-5,9.229963494990382e-5
"rho_temperature",0.10438766554433662,0.08152655699837016,0.06308331203925699,0.052647182708478034,0.021934940159125484,0.016545666273039678,0.006763554791161149,0.0034195005998486575,0.002377938332521742,0.0015825424721395824,0.0012538166385699804,0.0008556508449218326,0.0006395303607106556,0.0005508097301923486,0.00048436879617513146,0.00031406500337005254,0.0003458004353490216,0.00023670317495484282,0.00019797186321602022,0.00022872555601235594,0.00020064367187843857,0.00015378151912520078,0.00012903115888388938,0.00012428793616298375,0.00011412732410006405,0.00010711401416754805,0.00011063228009685006,7.595803290675243e-5
"rho_ocean_heat",0.10604789677512697,0.08012951772514124,0.05999271018047156,0.0446050152789995,0.026072230384965752,0.01243451372229246,0.006915315670784293,0.003739573374855567,0.0020616365930158343,0.0017023008364450908,0.0012069291285875562,0.0007688205685254239,0.0005549646288685728,0.000531184304463175,0.0004577107928123652,0.00036924557827266834,0.00039787589808243135,0.00024133283226913122,0.0002095141116728012,0.0002061004116651686,0.00019889589280082178,0.00016949627556151926,0.00015010983916860374,0.00013742607409729474,0.00011509238064202674,9.800370292229776e-5,8.825440235102371e-5,8.254047899147626e-5
"rho_glaciers",0.12147770520875951,0.10233644302721427,0.06856254452854753,0.0478475491565592,0.02139914255111205,0.01064257318989816,0.0064942154628720395,0.004052945859690403,0.002183961817106821,0.0016599881195367354,0.0010987808064711394,0.0010465632307297904,0.0006154587906887953,0.0005663412793519408,0.000429319078936154,0.00036528092987673843,0.00028983525576940756,0.0002839077278474554,0.00020289061077476825,0.00019053373610791757,0.000210326466883796,0.0001429908657451971,0.00013958351826296272,0.0001161749212549548,9.963556738033062e-5,0.0001129630110919391,0.00010484251508978667,0.0001078804690013162
"rho_greenland",0.113268403017884,0.08820015812960039,0.057724494753947926,0.04898053592724413,0.021662187775395567,0.01364548811250373,0.006611538517050688,0.0034721497900015276,0.00210625607831313,0.0015956351140984169,0.001155270003130716,0.0010948081786759751,0.0008253624383803725,0.000557518274552577,0.000415920527545549,0.0003640374160528714,0.00031308156902097996,0.00022864403541369502,0.0002068561893583808,0.00022868136983584871,0.00020223739862456307,0.00015092433123832486,0.00015025095384966797,0.00013851794352874158,0.00010933824652097742,0.00013372897179908335,9.827747112660962e-5,9.782714445680764e-5
"rho_antarctic",0.118599637103968,0.08138602560309705,0.057462442011067066,0.05174455258116059,0.024690396935387892,0.01113911886687303,0.006905167737389453,0.0036911198667465895,0.0024109306894269833,0.0016535618876171933,0.001041124172751772,0.0011281778578233546,0.0006988482861856368,0.0005611161137669977,0.00045058054046679394,0.00034989797144553377,0.00037013564567606774,0.00024393735438462053,0.00021106997659682658,0.00021016794357128326,0.000197177654260848,0.00015272529060657907,0.00013777566640466764,0.0001390739358773298,0.00012760968384771686,0.00010468970227761903,0.0001103650742152838,8.787990453915243e-5
"rho_gmsl",0.11162679997078427,0.0825610620924443,0.057512845063514534,0.04182632779125671,0.021743275383131283,0.012907572720061726,0.006028277615050902,0.0038223229658485946,0.0025755872941404783,0.0014867353655532562,0.0012297471501110345,0.0009745347818017141,0.0006296969751505982,0.0005969718325426914,0.00040693110931897734,0.0003815460707565406,0.00037681938487516524,0.00023747662087372225,0.00024357675005450954,0.00022471766520715952,0.00019537780372898291,0.00016824455421237083,0.00016078567218146038,0.00012111943395112759,0.00012101265754979331,0.00011335085742246601,9.25545525948695e-5,8.387016947804651e-5
"CO2_0",0.1193302530758863,0.07870692430262567,0.058375955099931306,0.03763981206228882,0.02791578581806268,0.012048343500800371,0.0071171534862015055,0.003798154967222669,0.0020540452956255765,0.0018451870389561943,0.0011202596410674155,0.0011150968770879753,0.0006451784516920398,0.0005255471396449199,0.0003966905764555258,0.00042954193262599073,0.0003893658176801472,0.00024497165712319133,0.0002154933848789099,0.00020642717790522836,0.0002331117647784478,0.00015080578518353066,0.00019294324442618085,0.000146156462666161,0.00011551982402975658,0.00014945480876060423,0.00011404797093533163,0.00011190361318675157
"N2O_0",0.11557541259710927,0.0874191603609602,0.06330120946303056,0.045265332450454984,0.019698975659186328,0.010678670138986164,0.005582927533022619,0.003705468815684522,0.0024042137595478,0.0014558634190537784,0.001066251752229499,0.0010791394630095697,0.0006518998749840797,0.0005895078194824755,0.00044063550342268845,0.0003205337950262453,0.0004239134616578545,0.00027940368466367104,0.00021520935356101156,0.00020619874105075098,0.00017381198657506246,0.00016868387533041762,0.0001753966418764348,0.00011698652594577662,0.0001051368498918841,0.00010363522863320322,8.869016251381945e-5,9.652714066739331e-5
"temperature_0",0.11667284994902076,0.08664336758244238,0.060448339275075744,0.0404455708883939,0.021978499095405467,0.011312242531138737,0.005905125009111596,0.003585167102014146,0.002162966259247287,0.0015535177930913495,0.0012277861584264428,0.0010862529890432182,0.0006017065104054922,0.0005057027718423199,0.0004570310298725888,0.00039430524682607365,0.0003750788821455143,0.0002613654838122184,0.00022811197632812558,0.0002258447145722927,0.0002435739605528529,0.0001696953507673877,0.00014177430249710495,0.00012635871000109654,0.00010224594624823693,0.00010791279016025253,0.00010502012542270909,9.925475803926269e-5
"ocean_heat_0",0.12159965104696262,0.082623528207429,0.05921688282400959,0.03908657283501948,0.022282660131788087,0.011040333208613346,0.005792713585365427,0.003888773923532146,0.002328415194575801,0.001488763313501694,0.0011016365144142016,0.0009959072919652288,0.0007218485190290996,0.0005189266042763077,0.00038698594248225544,0.00036499128317610784,0.0003249728159464085,0.00025601548935083303,0.00020832082873093843,0.00022732898041224637,0.00019102078175879162,0.00014963408033299983,0.0002265319586647762,0.00013441275001335685,0.00012076640827716883,0.0001034285732899148,0.00010038324899993671,7.728498544854068e-5
