"feature_name","mean_2050","mean_2055","mean_2060","mean_2065","mean_2070","mean_2075","mean_2080","mean_2085","mean_2090","mean_2095","mean_2100","mean_2105","mean_2110","mean_2115","mean_2120","mean_2125","mean_2130","mean_2135","mean_2140","mean_2145","mean_2150","mean_2155","mean_2160","mean_2165","mean_2170","mean_2175","mean_2180","mean_2185","mean_2190","mean_2195","mean_2200"
"gamma_g",0.0007181953,0.0023009437,0.004529298,0.00809674,0.013827695,0.02014379,0.026684457,0.033129968,0.03876009,0.045397993,0.051688094,0.058238603,0.065158896,0.07085055,0.07656524,0.08263154,0.08968264,0.09715704,0.10229275,0.11050549,0.11537056,0.12180388,0.12949558,0.13250381,0.14053935,0.14453885,0.15176128,0.15676498,0.16668056,0.16748762,0.17661102
"t_peak",0.001059505,0.0029344107,0.0058943494,0.010377885,0.018060917,0.030082019,0.047548503,0.06641338,0.08745487,0.10935104,0.13398005,0.15791166,0.1831888,0.20998926,0.23661062,0.2636398,0.2901603,0.31624478,0.34335995,0.36910996,0.3964622,0.4224251,0.44918105,0.4742255,0.49529755,0.52306837,0.5467374,0.57267547,0.5959222,0.6179941,0.639821
"gamma_d",0.00016489835,0.00010259476,0.00017740722,0.00010407363,0.00034503208,0.0011878653,0.003103476,0.005917379,0.00930186,0.0144047,0.019198067,0.026144994,0.03386247,0.04198332,0.050533477,0.06173422,0.071867965,0.083410606,0.09541137,0.10775134,0.121373415,0.13527104,0.1463383,0.16407354,0.17428271,0.19033661,0.20393594,0.2183448,0.23051843,0.24521162,0.25721613
"CO2_0",0.0002370843,0.0002441062,0.00034999495,0.00032099857,0.00040045843,0.0006375392,0.00080287067,0.0009760948,0.0011510801,0.0011650728,0.0012576478,0.0011057707,0.0013837602,0.0012785346,0.0010453672,0.001864228,0.0015799996,0.00091750565,0.0009512658,0.0014941389,0.00092529523,0.0018629081,0.0017856581,0.0022766388,0.000887525,0.0020057843,0.003052917,0.0036147872,0.002442614,0.0038046897,0.003448439
"N2O_0",0.00019270866,0.00026981754,0.00029766522,0.00026942164,0.00033186717,0.0002678148,0.0002291214,0.00031912926,0.00049936044,0.0002948372,0.0009050665,0.0007351844,0.00063498795,0.0007308765,0.00094620493,0.00040440122,0.0010474836,0.0005184563,0.0012655135,0.0008508461,0.0010612524,0.0012885534,0.0016163372,0.0010633003,0.0021225696,0.001639806,0.0013737599,0.0012269623,0.0014977863,0.0018761158,0.0013133253
"thermal_s0",0.00013384408,0.00026558925,0.00045548083,0.00036470636,0.0003379354,0.00047020387,0.00036831363,0.00045362138,0.0002730782,0.00034525848,0.00047380212,0.00042978214,0.0004251013,0.00038339454,0.00056453224,0.00076430617,0.00085995026,0.00087378046,0.0010039967,0.0006170968,0.0009832332,0.0018103888,0.0011789141,0.0012127946,0.0011726109,0.0014222899,0.0016295591,0.0011896051,0.0008867386,0.00076267525,0.0013743304
"greenland_v0",0.00036603582,0.00043497985,0.00043147162,0.00050818454,0.0005687687,0.00047431464,0.00055843056,0.00096143025,0.0012893187,0.0013864202,0.0016892235,0.0018148338,0.0019739831,0.0034552002,0.0028130496,0.003477414,0.0041601257,0.0028102235,0.004480405,0.0049220216,0.005669514,0.005553357,0.006434108,0.006196144,0.00703167,0.0063712397,0.0066241953,0.00754299,0.0064113936,0.006301558,0.009304539
"glaciers_v0",0.00022205684,0.0002463475,0.0003283776,0.00054135796,0.00041867857,0.00045423736,0.00089989917,0.0008623298,0.00105218,0.0011046405,0.0015799399,0.0015226378,0.0027633542,0.0028289307,0.002628173,0.0022686473,0.0036744957,0.0037507568,0.004266474,0.0036926232,0.0053438195,0.0045474228,0.005502683,0.005841301,0.0064864694,0.006780162,0.008488499,0.008426018,0.008583062,0.0098349415,0.00889863
"glaciers_s0",0.00016039457,0.000192222,0.00019776798,0.0002539253,0.00024808195,0.00023820467,0.00014393961,0.00045490378,0.00055823993,0.0004459851,0.00063805655,0.0012274733,0.0008254486,0.0010464613,0.0014791277,0.0015250127,0.0020630807,0.0020574518,0.0021240772,0.00232439,0.0019057579,0.0030992825,0.0031693736,0.0021566052,0.0031779294,0.003572932,0.003696302,0.0051337783,0.0044989195,0.0045506256,0.0045785354
"antarctic_s0",0.00024352035,0.00028772707,0.00025840756,0.00023692742,0.00036431474,0.0001871563,0.00031376551,0.0003949361,0.00030598528,0.00036150732,0.00029798358,0.00043118888,0.0005292289,0.0006130369,0.00062995614,0.0007095035,0.0008138678,0.0005142707,0.0004975525,0.000761415,0.0005314501,0.000764305,0.00085566513,0.0009734566,0.00126857,0.0009545485,0.00086138345,0.0008691642,0.0015847803,0.0008918149,0.0010323903
"Q10",0.00016836949,0.00033983588,0.000466109,0.0009902825,0.0019627993,0.0034498046,0.0048540886,0.0062673814,0.0075826063,0.010387072,0.012580471,0.01456736,0.018285383,0.021353314,0.023026792,0.026657367,0.028800057,0.033103496,0.036320806,0.040211175,0.043450885,0.0482318,0.05244903,0.05464591,0.060272917,0.06313936,0.063409805,0.07016461,0.07329299,0.07807219,0.082409106
"CO2_fertilization",0.00044822015,0.00048061876,0.00042117824,0.00072958233,0.001365195,0.001756609,0.0031761895,0.0034563683,0.004124404,0.005054838,0.0059633343,0.0070332773,0.009311847,0.010912239,0.009943539,0.013451184,0.01388878,0.014240088,0.01566536,0.017643375,0.020097299,0.020744707,0.021594632,0.024394182,0.025424823,0.02577685,0.025437327,0.026752856,0.02803129,0.028978663,0.03022445
"CO2_diffusivity",9.713169e-5,0.00015910354,5.7583846e-5,0.00020925984,0.00022592065,0.0002800348,0.00082811277,0.0009941846,0.0011220982,0.0010516554,0.0015340697,0.0017424183,0.0024705548,0.002787995,0.0028920425,0.0040119803,0.0037612957,0.0035896874,0.004433426,0.0042462572,0.00598415,0.0044082347,0.0055422215,0.0058965175,0.0063820756,0.0065423264,0.0080125,0.007163323,0.00850589,0.009903965,0.009574158
"heat_diffusivity",0.0012312338,0.00076164823,0.00056908885,0.0003516761,0.00068131293,0.0012427507,0.002278095,0.0029025094,0.004307153,0.005375734,0.005136394,0.005846895,0.0071092956,0.007765083,0.007872801,0.00808919,0.008041456,0.008648758,0.006887889,0.007407787,0.0065306784,0.007009307,0.006336968,0.0066265822,0.0075739943,0.0055116154,0.005619654,0.006136508,0.006959939,0.004884624,0.0067090765
"rf_scale_aerosol",0.002142984,0.0032441085,0.005218885,0.007185059,0.009569679,0.012207451,0.014603998,0.017616142,0.020731872,0.0228773,0.02864179,0.030710464,0.034208074,0.035907507,0.039866943,0.041685853,0.045562904,0.048431516,0.051720306,0.05460001,0.05894563,0.05994664,0.06033191,0.06277445,0.06377083,0.06698259,0.066923074,0.07091136,0.06987514,0.074294575,0.072794735
"climate_sensitivity",0.015135564,0.019856669,0.025526213,0.032820128,0.041247897,0.050499815,0.06188087,0.073420726,0.083777755,0.09762877,0.10751719,0.11761381,0.13125688,0.14320178,0.15422359,0.16562016,0.1774261,0.18979494,0.20006235,0.21280889,0.21975502,0.23366483,0.24505949,0.257486,0.2716234,0.27815726,0.29363102,0.30485997,0.32020292,0.32200733,0.3407438
